Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;
Cyprus [Europe];2004;Both sexes;67.0;null;120.0;
Cabo Verde [Africa];2004;Male;90.0;null;;
Oman [Eastern Mediterranean];2004;Male;232.0;null;;
Pakistan [Eastern Mediterranean];2004;Female;290.0;null;280.0;
Guinea-Bissau [Africa];2004;Male;159.0;null;;
Israel [Europe];2004;Female;48.0;null;334.0;
Kenya [Africa];2004;Female;75.0;null;178.0;
Mauritius [Africa];2004;Female;23.0;null;248.0;
Gambia [Africa];2004;Female;89.0;null;108.0;
Niger [Africa];2004;Female;109.0;null;373.0;
Japan [Western Pacific];2004;Both sexes;107.0;null;90.0;
Chad [Africa];2004;Both sexes;149.0;null;111.0;
Syrian Arab Republic [Eastern Mediterranean];2004;Male;149.0;null;;
Kyrgyzstan [Europe];2004;Both sexes;316.0;null;104.0;
Libya [Eastern Mediterranean];2004;Male;218.0;null;;
Afghanistan [Eastern Mediterranean];2004;Male;545.0;null;;
Haiti [Americas];2004;Male;234.0;null;2;
Tuvalu [Western Pacific];2004;Female;144.0;null;375.0;
Tonga [Western Pacific];2004;Male;54.0;null;3;
Paraguay [Americas];2004;Both sexes;120.0;null;126.0;
Lesotho [Africa];2004;Female;50.0;null;75.0;
Norway [Europe];2004;Female;111.0;null;301.0;
United States of America [Americas];2004;Male;155.0;null;2;
Sri Lanka [South-East Asia];2004;Female;798.0;null;250.0;
Chad [Africa];2004;Female;108.0;null;210.0;
Kiribati [Western Pacific];2004;Both sexes;35.0;null;156.0;
C\u00f4te d'Ivoire [Africa];2004;Female;124.0;null;438.0;
Togo [Africa];2004;Male;139.0;null;;
Belize [Americas];2004;Both sexes;252.0;null;47.0;
Nauru [Western Pacific];2004;Male;137.0;null;;
Viet Nam [Western Pacific];2004;Female;181.0;null;139.0;
Lithuania [Europe];2004;Male;553.0;null;1;
Slovakia [Europe];2004;Female;95.0;null;247.0;
Lesotho [Africa];2004;Male;86.0;null;;
Madagascar [Africa];2004;Both sexes;104.0;null;86.0;
Bolivia (Plurinational State of) [Americas];2004;Male;230.0;null;;
Cyprus [Europe];2004;Female;53.0;null;229.0;
Venezuela (Bolivarian Republic of) [Americas];2004;Both sexes;156.0;null;116.0;
Spain [Europe];2004;Female;55.0;null;237.0;
Brazil [Americas];2004;Female;85.0;null;336.0;
Libya [Eastern Mediterranean];2004;Female;130.0;null;214.0;
Grenada [Americas];2004;Both sexes;138.0;null;225.0;
Spain [Europe];2004;Male;160.0;null;2;
China [Western Pacific];2004;Female;244.0;null;138.0;
Slovenia [Europe];2004;Male;320.0;null;;
Switzerland [Europe];2004;Female;84.0;null;291.0;
Central African Republic [Africa];2004;Female;91.0;null;188.0;
Nauru [Western Pacific];2004;Both sexes;187.0;null;155.0;
Rwanda [Africa];2004;Female;89.0;null;89.0;
Dominican Republic [Americas];2004;Both sexes;184.0;null;164.0;
Nepal [South-East Asia];2004;Male;311.0;null;;
Samoa [Western Pacific];2004;Both sexes;76.0;null;147.0;
Armenia [Europe];2004;Male;237.0;null;;
France [Europe];2004;Female;116.0;null;346.0;
Micronesia (Federated States of) [Western Pacific];2004;Both sexes;70.0;null;83.0;
Hungary [Europe];2004;Male;310.0;null;;
Mongolia [Western Pacific];2004;Male;547.0;null;;
Yemen [Eastern Mediterranean];2004;Male;611.0;null;;
Poland [Europe];2004;Male;425.0;null;2;
Grenada [Americas];2004;Male;195.0;null;3;
Spain [Europe];2004;Both sexes;109.0;null;122.0;
Canada [Americas];2004;Both sexes;85.0;null;172.0;
Croatia [Europe];2004;Male;261.0;null;5;
Saudi Arabia [Eastern Mediterranean];2004;Female;190.0;null;244.0;
Italy [Europe];2004;Female;88.0;null;277.0;
C\u00f4te d'Ivoire [Africa];2004;Male;298.0;null;;
Georgia [Europe];2004;Male;144.0;null;;
South Africa [Africa];2004;Both sexes;104.0;null;156.0;
Tuvalu [Western Pacific];2004;Both sexes;125.0;null;189.0;
Solomon Islands [Western Pacific];2004;Both sexes;83.0;null;70.0;
Colombia [Americas];2004;Both sexes;155.0;null;89.0;
Ethiopia [Africa];2004;Both sexes;100.0;null;103.0;
Costa Rica [Americas];2004;Male;179.0;null;2;
Croatia [Europe];2004;Female;125.0;null;308.0;
Zimbabwe [Africa];2004;Female;89.0;null;148.0;
Peru [Americas];2004;Female;106.0;null;255.0;
Mozambique [Africa];2004;Male;148.0;null;;
Argentina [Americas];2004;Female;52.0;null;316.0;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Both sexes;300.0;null;85.0;
Mongolia [Western Pacific];2004;Female;135.0;null;93.0;
Eritrea [Africa];2004;Male;107.0;null;;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Female;255.0;null;167.0;
Republic of Korea [Western Pacific];2004;Female;212.0;null;100.0;
Brunei Darussalam [Western Pacific];2004;Both sexes;110.0;null;102.0;
Indonesia [South-East Asia];2004;Both sexes;455.0;null;168.0;
El Salvador [Americas];2004;Female;86.0;null;101.0;
Bosnia and Herzegovina [Europe];2004;Female;52.0;null;235.0;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Male;122.0;null;1;
Lao People's Democratic Republic [Western Pacific];2004;Male;432.0;null;;
Botswana [Africa];2004;Male;128.0;null;;
Republic of Korea [Western Pacific];2004;Both sexes;295.0;null;51.0;
Romania [Europe];2004;Male;485.0;null;3;
Dominica [Americas];2004;Female;21.0;null;556.0;
Cabo Verde [Africa];2004;Female;69.0;null;229.0;
Israel [Europe];2004;Male;109.0;null;1;
Bosnia and Herzegovina [Europe];2004;Male;218.0;null;3;
Azerbaijan [Europe];2004;Both sexes;86.0;null;151.0;
Ghana [Africa];2004;Both sexes;103.0;null;155.0;
El Salvador [Americas];2004;Both sexes;152.0;null;54.0;
Denmark [Europe];2004;Both sexes;134.0;null;202.0;
Congo [Africa];2004;Male;129.0;null;;
Nigeria [Africa];2004;Both sexes;143.0;null;258.0;
Syrian Arab Republic [Eastern Mediterranean];2004;Both sexes;125.0;null;87.0;
Seychelles [Africa];2004;Female;36.0;null;197.0;
Barbados [Americas];2004;Male;77.0;null;;
Ethiopia [Africa];2004;Male;136.0;null;;
Saudi Arabia [Eastern Mediterranean];2004;Both sexes;345.0;null;98.0;
Guinea-Bissau [Africa];2004;Both sexes;127.0;null;221.0;
South Africa [Africa];2004;Female;67.0;null;285.0;
Zimbabwe [Africa];2004;Both sexes;141.0;null;80.0;
Bulgaria [Europe];2004;Female;68.0;null;241.0;
Myanmar [South-East Asia];2004;Female;272.0;null;177.0;
Singapore [Western Pacific];2004;Female;69.0;null;198.0;
Iceland [Europe];2004;Both sexes;134.0;null;148.0;
Zambia [Africa];2004;Female;81.0;null;117.0;
Botswana [Africa];2004;Both sexes;103.0;null;126.0;
Czechia [Europe];2004;Male;309.0;null;2;
Democratic People's Republic of Korea [South-East Asia];2004;Both sexes;210.0;null;79.0;
Djibouti [Eastern Mediterranean];2004;Male;283.0;null;;
Russian Federation [Europe];2004;Female;216.0;null;312.0;
Andorra [Europe];2004;Male;150.0;null;2;
Belarus [Europe];2004;Male;672.0;null;3;
Guyana [Americas];2004;Female;130.0;null;383.0;
Slovakia [Europe];2004;Male;455.0;null;3;
Bhutan [South-East Asia];2004;Female;289.0;null;166.0;
Fiji [Western Pacific];2004;Both sexes;70.0;null;139.0;
Ecuador [Americas];2004;Male;280.0;null;;
Senegal [Africa];2004;Male;140.0;null;;
Eritrea [Africa];2004;Female;62.0;null;127.0;
Azerbaijan [Europe];2004;Female;45.0;null;284.0;
Bangladesh [South-East Asia];2004;Female;310.0;null;169.0;
Pakistan [Eastern Mediterranean];2004;Male;277.0;null;;
Japan [Western Pacific];2004;Male;145.0;null;;
Benin [Africa];2004;Both sexes;110.0;null;204.0;
Saint Lucia [Americas];2004;Both sexes;85.0;null;151.0;
Mexico [Americas];2004;Female;81.0;null;172.0;
Jordan [Eastern Mediterranean];2004;Female;110.0;null;393.0;
Kuwait [Eastern Mediterranean];2004;Female;92.0;null;177.0;
Bangladesh [South-East Asia];2004;Both sexes;317.0;null;84.0;
Gabon [Africa];2004;Female;99.0;null;159.0;
Seychelles [Africa];2004;Male;110.0;null;26.0;
Costa Rica [Americas];2004;Female;66.0;null;188.0;
Peru [Americas];2004;Both sexes;136.0;null;130.0;
Bangladesh [South-East Asia];2004;Male;323.0;null;;
Belgium [Europe];2004;Female;99.0;null;388.0;
Pakistan [Eastern Mediterranean];2004;Both sexes;283.0;null;138.0;
Venezuela (Bolivarian Republic of) [Americas];2004;Male;213.0;null;1;
Equatorial Guinea [Africa];2004;Female;118.0;null;214.0;
Kiribati [Western Pacific];2004;Female;36.0;null;312.0;
Lithuania [Europe];2004;Both sexes;337.0;null;154.0;
Sao Tome and Principe [Africa];2004;Male;191.0;null;2;
Liberia [Africa];2004;Female;87.0;null;298.0;
Ghana [Africa];2004;Female;98.0;null;306.0;
Honduras [Americas];2004;Both sexes;101.0;null;142.0;
Bolivia (Plurinational State of) [Americas];2004;Female;129.0;null;341.0;
Tonga [Western Pacific];2004;Both sexes;62.0;null;128.0;
Turkmenistan [Europe];2004;Male;320.0;null;;
Monaco [Europe];2004;Both sexes;126.0;null;131.0;
Saint Kitts and Nevis [Americas];2004;Male;302.0;null;;
Armenia [Europe];2004;Female;81.0;null;552.0;
Guyana [Americas];2004;Male;236.0;null;;
Viet Nam [Western Pacific];2004;Both sexes;196.0;null;72.0;
Bahamas [Americas];2004;Female;108.0;null;416.0;
Belize [Americas];2004;Male;363.0;null;4;
Belarus [Europe];2004;Female;187.0;null;276.0;
Ukraine [Europe];2004;Male;524.0;null;;
Ecuador [Americas];2004;Female;105.0;null;168.0;
Greece [Europe];2004;Male;207.0;null;;
Marshall Islands [Western Pacific];2004;Both sexes;122.0;null;189.0;
Antigua and Barbuda [Americas];2004;Female;50.0;null;549.0;
Mauritania [Africa];2004;Female;93.0;null;312.0;
Monaco [Europe];2004;Female;87.0;null;252.0;
Sierra Leone [Africa];2004;Female;125.0;null;493.0;
Albania [Europe];2004;Both sexes;259.0;null;193.0;
Portugal [Europe];2004;Female;79.0;null;271.0;
Ukraine [Europe];2004;Female;139.0;null;298.0;
Yemen [Eastern Mediterranean];2004;Female;435.0;null;362.0;
Kuwait [Eastern Mediterranean];2004;Male;136.0;null;;
Palau [Western Pacific];2004;Both sexes;110.0;null;138.0;
Viet Nam [Western Pacific];2004;Male;211.0;null;;
Canada [Americas];2004;Male;111.0;null;2;
Kiribati [Western Pacific];2004;Male;34.0;null;;
Saint Lucia [Americas];2004;Male;113.0;null;4;
Burkina Faso [Africa];2004;Both sexes;143.0;null;248.0;
Papua New Guinea [Western Pacific];2004;Both sexes;253.0;null;65.0;
Somalia [Eastern Mediterranean];2004;Male;404.0;null;;
El Salvador [Americas];2004;Male;222.0;null;;
Mexico [Americas];2004;Both sexes;139.0;null;90.0;
Madagascar [Africa];2004;Male;123.0;null;;
Morocco [Eastern Mediterranean];2004;Both sexes;219.0;null;87.0;
Turkey [Europe];2004;Male;326.0;null;;
Colombia [Americas];2004;Male;246.0;null;;
Maldives [South-East Asia];2004;Female;320.0;null;181.0;
Nepal [South-East Asia];2004;Both sexes;280.0;null;140.0;
Uganda [Africa];2004;Male;178.0;null;;
Uzbekistan [Europe];2004;Male;280.0;null;;
Djibouti [Eastern Mediterranean];2004;Female;86.0;null;169.0;
Guyana [Americas];2004;Both sexes;184.0;null;190.0;
Haiti [Americas];2004;Both sexes;281.0;null;15.0;
Micronesia (Federated States of) [Western Pacific];2004;Female;68.0;null;162.0;
Paraguay [Americas];2004;Female;100.0;null;252.0;
Guatemala [Americas];2004;Both sexes;161.0;null;123.0;
Micronesia (Federated States of) [Western Pacific];2004;Male;73.0;null;;
Cameroon [Africa];2004;Female;100.0;null;368.0;
Madagascar [Africa];2004;Female;86.0;null;166.0;
Guinea [Africa];2004;Male;172.0;null;;
Togo [Africa];2004;Female;88.0;null;357.0;
Iraq [Eastern Mediterranean];2004;Both sexes;1002.0;null;192.0;
Niger [Africa];2004;Both sexes;159.0;null;173.0;
Tunisia [Eastern Mediterranean];2004;Female;129.0;null;122.0;
Egypt [Eastern Mediterranean];2004;Both sexes;174.0;null;128.0;
Mali [Africa];2004;Female;103.0;null;235.0;
Mozambique [Africa];2004;Both sexes;111.0;null;17.0;
Democratic Republic of the Congo [Africa];2004;Both sexes;222.0;null;64.0;
Zimbabwe [Africa];2004;Male;197.0;null;;
Luxembourg [Europe];2004;Both sexes;183.0;null;152.0;
Cyprus [Europe];2004;Male;80.0;null;;
Ghana [Africa];2004;Male;108.0;null;2;
