Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;Age-standardized DALYs alcohol use disorders per 100000;
Bolivia (Plurinational State of) [Americas];2004;Female;129.0;null;341.0;193.0;
Malawi [Africa];2004;Female;70.0;null;126.0;15.0;
Dominican Republic [Americas];2004;Female;138.0;null;328.0;150.0;
El Salvador [Americas];2004;Female;86.0;null;101.0;155.0;
Barbados [Americas];2004;Male;77.0;null;;823.0;
Ethiopia [Africa];2004;Male;136.0;null;;250.0;
Costa Rica [Americas];2004;Female;66.0;null;188.0;155.0;
Finland [Europe];2004;Male;384.0;null;1;1139.0;
Suriname [Americas];2004;Female;127.0;null;201.0;136.0;
Luxembourg [Europe];2004;Female;116.0;null;294.0;192.0;
Burundi [Africa];2004;Both sexes;148.0;null;105.0;200.0;
Lithuania [Europe];2004;Both sexes;337.0;null;154.0;1030.0;
Eritrea [Africa];2004;Both sexes;84.0;null;73.0;46.0;
Guatemala [Americas];2004;Female;101.0;null;234.0;169.0;
Kiribati [Western Pacific];2004;Female;36.0;null;312.0;16.0;
Djibouti [Eastern Mediterranean];2004;Male;283.0;null;;98.0;
Myanmar [South-East Asia];2004;Female;272.0;null;177.0;8;
Sierra Leone [Africa];2004;Both sexes;218.0;null;261.0;161.0;
Nicaragua [Americas];2004;Female;66.0;null;221.0;139.0;
Andorra [Europe];2004;Female;73.0;null;267.0;162.0;
Ecuador [Americas];2004;Male;280.0;null;;1160.0;
Senegal [Africa];2004;Male;140.0;null;;83.0;
Mozambique [Africa];2004;Female;78.0;null;31.0;15.0;
Benin [Africa];2004;Both sexes;110.0;null;204.0;57.0;
Tuvalu [Western Pacific];2004;Male;106.0;null;12.0;354.0;
Pakistan [Eastern Mediterranean];2004;Male;277.0;null;;132.0;
Republic of Korea [Western Pacific];2004;Female;212.0;null;100.0;57.0;
Japan [Western Pacific];2004;Male;145.0;null;;223.0;
Kenya [Africa];2004;Female;75.0;null;178.0;24.0;
Finland [Europe];2004;Both sexes;266.0;null;126.0;687.0;
Grenada [Americas];2004;Female;85.0;null;409.0;146.0;
Canada [Americas];2004;Both sexes;85.0;null;172.0;596.0;
Tonga [Western Pacific];2004;Both sexes;62.0;null;128.0;134.0;
United Republic of Tanzania [Africa];2004;Both sexes;119.0;null;112.0;135.0;
Cabo Verde [Africa];2004;Female;69.0;null;229.0;24.0;
Bangladesh [South-East Asia];2004;Male;323.0;null;;105.0;
Brunei Darussalam [Western Pacific];2004;Both sexes;110.0;null;102.0;100.0;
United Arab Emirates [Eastern Mediterranean];2004;Female;95.0;null;133.0;0;
Albania [Europe];2004;Both sexes;259.0;null;193.0;231.0;
Maldives [South-East Asia];2004;Female;320.0;null;181.0;74.0;
Peru [Americas];2004;Female;106.0;null;255.0;258.0;
Singapore [Western Pacific];2004;Female;69.0;null;198.0;25.0;
Turkmenistan [Europe];2004;Male;320.0;null;;313.0;
Germany [Europe];2004;Female;70.0;null;311.0;178.0;
Viet Nam [Western Pacific];2004;Female;181.0;null;139.0;17.0;
Saint Kitts and Nevis [Americas];2004;Male;302.0;null;;964.0;
Ethiopia [Africa];2004;Both sexes;100.0;null;103.0;133.0;
Guyana [Americas];2004;Male;236.0;null;;729.0;
Jordan [Eastern Mediterranean];2004;Female;110.0;null;393.0;1;
Guinea-Bissau [Africa];2004;Female;96.0;null;419.0;21.0;
Somalia [Eastern Mediterranean];2004;Both sexes;417.0;null;135.0;60.0;
Belarus [Europe];2004;Male;672.0;null;3;1590.0;
Ukraine [Europe];2004;Male;524.0;null;;1276.0;
Brazil [Americas];2004;Female;85.0;null;336.0;184.0;
Cook Islands [Western Pacific];2004;Both sexes;114.0;null;63.0;222.0;
United States of America [Americas];2004;Female;71.0;null;329.0;314.0;
Greece [Europe];2004;Male;207.0;null;;578.0;
Republic of Moldova [Europe];2004;Male;378.0;null;7;1926.0;
Saint Lucia [Americas];2004;Female;58.0;null;286.0;180.0;
Estonia [Europe];2004;Male;435.0;null;2;1753.0;
Ethiopia [Africa];2004;Female;66.0;null;197.0;18.0;
Denmark [Europe];2004;Male;169.0;null;4;820.0;
Argentina [Americas];2004;Female;52.0;null;316.0;218.0;
Dominican Republic [Americas];2004;Both sexes;184.0;null;164.0;517.0;
Kuwait [Eastern Mediterranean];2004;Male;136.0;null;;10.0;
Cuba [Americas];2004;Both sexes;150.0;null;108.0;378.0;
Bolivia (Plurinational State of) [Americas];2004;Both sexes;179.0;null;179.0;592.0;
Oman [Eastern Mediterranean];2004;Female;78.0;null;171.0;0;
Viet Nam [Western Pacific];2004;Male;211.0;null;;556.0;
Kiribati [Western Pacific];2004;Male;34.0;null;;522.0;
Andorra [Europe];2004;Both sexes;113.0;null;138.0;420.0;
Cyprus [Europe];2004;Female;53.0;null;229.0;0;
Somalia [Eastern Mediterranean];2004;Male;404.0;null;;100.0;
Cameroon [Africa];2004;Both sexes;127.0;null;192.0;125.0;
China [Western Pacific];2004;Both sexes;314.0;null;68.0;495.0;
El Salvador [Americas];2004;Male;222.0;null;;1453.0;
Djibouti [Eastern Mediterranean];2004;Both sexes;184.0;null;87.0;54.0;
Madagascar [Africa];2004;Male;123.0;null;;106.0;
Turkey [Europe];2004;Male;326.0;null;;232.0;
Colombia [Americas];2004;Male;246.0;null;;1324.0;
Mauritius [Africa];2004;Both sexes;62.0;null;129.0;148.0;
Uganda [Africa];2004;Male;178.0;null;;442.0;
Netherlands [Europe];2004;Male;107.0;null;2;855.0;
Uzbekistan [Europe];2004;Male;280.0;null;;276.0;
Honduras [Americas];2004;Female;80.0;null;276.0;127.0;
Israel [Europe];2004;Female;48.0;null;334.0;48.0;
Uruguay [Americas];2004;Female;52.0;null;370.0;185.0;
Bahamas [Americas];2004;Female;108.0;null;416.0;221.0;
Palau [Western Pacific];2004;Both sexes;110.0;null;138.0;2;
Philippines [Western Pacific];2004;Both sexes;114.0;null;148.0;596.0;
Micronesia (Federated States of) [Western Pacific];2004;Male;73.0;null;;444.0;
Costa Rica [Americas];2004;Both sexes;123.0;null;96.0;527.0;
Guinea [Africa];2004;Male;172.0;null;;38.0;
San Marino [Europe];2004;Both sexes;61.0;null;87.0;335.0;
Barbados [Americas];2004;Female;31.0;null;490.0;151.0;
Belize [Americas];2004;Female;139.0;null;92.0;165.0;
Luxembourg [Europe];2004;Male;247.0;null;3;771.0;
Mexico [Americas];2004;Both sexes;139.0;null;90.0;287.0;
Mauritania [Africa];2004;Female;93.0;null;312.0;6;
