Country;World Bank income group;WHO region;Year;Sex;Life expectancy at birth (years);Comments;Under-five mortality rate (deaths per 1000 live births);Healthy life expectancy (HALE) at age 60 (years);Under-five mortality rate (probability of dying by age 5 per 1000 live births);Infant mortality rate (deaths per 1000 live births);Adult mortality rate (probability of dying between 15 and 60 years per 1000 population);
Jamaica [Americas];null;null;2015;Both sexes;75.85057;null;;16.51455;15.52235;;132.5525;
Uzbekistan [Europe];null;null;2000;Female;68.23325;null;54;13.34951;53.12845;;134.5524;
Romania [Europe];null;null;2010;Male;70.06802;null;14;13.30177;13.67232;;218.278;
India [South-East Asia];null;null;2015;Both sexes;69.31467;null;;13.06244;43.52789;;180.5233;
Guatemala [Americas];null;null;2015;Male;67.84525;null;31;14.05556;31.21566;;212.8546;
Italy [Europe];null;null;2010;Both sexes;81.89587;null;;18.43608;3.96409;;57.75965;
Poland [Europe];null;null;2019;Male;74.52794;null;5;14.85718;4.82057;;;
null;High-income;null;2000;Male;74.60219;null;;15.21685;;;;
Bahamas [Americas];null;null;2019;Male;69.8522;null;13;14.91891;23.32179;;;
Bolivia (Plurinational State of) [Americas];null;null;2000;Female;67.24576;null;71;13.82291;71.06865;;209.7854;
Senegal [Africa];null;null;2000;Female;60.3232;null;123;12.52452;122.89162;;222.8859;
Solomon Islands [Western Pacific];null;null;2019;Both sexes;65.24883;null;;11.7776;20.04898;;;
Israel [Europe];null;null;2010;Both sexes;81.55505;null;;18.63713;4.55427;;59.69223;
Morocco [Eastern Mediterranean];null;null;2010;Female;72.26922;null;29;14.04825;28.10255;;75.43225;
Estonia [Europe];null;null;2015;Female;81.70759;null;3;18.6788;2.73738;;62.5317;
Eswatini [Africa];null;null;2010;Male;44.86095;null;104;7.85479;90.56619;79.42982;575.8028;
Mozambique [Africa];null;null;2015;Female;59.44558;null;42;12.78632;78.96634;23.34522;321.0822;
Central African Republic [Africa];null;null;2019;Female;56.25684;null;104;11.13278;100.21196;;;
Panama [Americas];null;null;2015;Female;81.38107;null;15;18.88254;15.11355;;76.69847;
Bangladesh [South-East Asia];null;null;2000;Both sexes;65.58728;null;;13.31548;86.038;;172.8206;
Republic of Korea [Western Pacific];null;null;2010;Both sexes;80.58366;null;;18.22314;4.12463;;76.04259;
Armenia [Europe];null;null;2010;Female;76.61044;null;22;15.73791;16.21016;20.0714;80.90385;
Grenada [Americas];null;null;2015;Both sexes;72.69942;null;;14.48221;16.21703;;141.2849;
Philippines [Western Pacific];null;null;2015;Both sexes;70.29715;null;;13.47515;29.64772;;194.9919;
Yemen [Eastern Mediterranean];null;null;2000;Both sexes;62.6944;null;;12.62703;94.96748;;251.4866;
Costa Rica [Americas];null;null;2010;Male;76.98176;null;11;17.1588;11.40355;;138.8389;
Qatar [Eastern Mediterranean];null;null;2015;Both sexes;76.40804;null;;13.76458;7.77516;;62.80861;
Thailand [South-East Asia];null;null;2019;Female;81.0434;null;8;18.80095;8.07484;;;
Slovenia [Europe];null;null;2019;Male;78.58624;null;2;16.40527;2.44054;;;
Senegal [Africa];null;null;2019;Male;66.82092;null;49;12.64269;43.58184;;;
Solomon Islands [Western Pacific];null;null;2015;Both sexes;64.74374;null;;11.65219;22.73573;;148.8436;
Gabon [Africa];null;null;2019;Female;69.73158;null;38;14.22174;38.56719;;;
Saint Vincent and the Grenadines [Americas];null;null;2000;Both sexes;70.6085;null;;14.34802;22.17066;;195.7314;
Portugal [Europe];null;null;2019;Both sexes;81.57421;null;;18.6458;3.44669;;;
Ireland [Europe];null;null;2015;Male;79.32594;null;4;17.53781;4.01713;;78.18725;
Central African Republic [Africa];null;null;2015;Both sexes;50.53056;null;;9.64603;123.32026;;418.1692;
Iceland [Europe];null;null;2010;Both sexes;81.68404;null;;18.39093;2.6994;;53.36464;
null;null;South-East Asia;2000;Female;64.57714;null;;12.31504;85.75566;;183.752;
Guinea-Bissau [Africa];null;null;2019;Female;62.97833;null;72;12.08393;73.17157;;;
Haiti [Americas];null;null;2019;Female;64.75906;null;57;12.86459;56.59962;;;
Honduras [Americas];null;null;2019;Male;70.67292;null;19;13.39549;18.57305;;;
Switzerland [Europe];null;null;2019;Male;81.75073;null;4;18.82055;4.35683;;;
Republic of Korea [Western Pacific];null;null;2000;Male;72.48937;null;8;14.1974;8.03343;;162.5763;
Botswana [Africa];null;null;2000;Female;47.76789;null;66;11.58554;76.09805;;565.1503;
Nepal [South-East Asia];null;null;2019;Male;68.87744;null;35;12.66071;31.50901;30.94135;;
Malta [Europe];null;null;2010;Male;78.2261;null;7;16.91888;7.20364;;74.56341;
Nigeria [Africa];null;null;2010;Both sexes;59.23747;null;;12.84545;135.53081;;377.6245;
Croatia [Europe];null;null;2010;Male;73.41486;null;6;13.72559;5.96168;;147.1442;
Portugal [Europe];null;null;2015;Both sexes;80.88557;null;;18.26809;3.64874;;76.51837;
Albania [Europe];null;null;2015;Female;79.68682;null;9;17.4559;8.75378;;66.45842;
United Kingdom of Great Britain and Northern Ireland [Europe];null;null;2015;Both sexes;80.65246;null;;17.85546;4.46529;;68.76315;
Jamaica [Americas];null;null;2010;Both sexes;75.7666;null;;16.71141;17.99789;;139.2474;
Bahrain [Eastern Mediterranean];null;null;2000;Both sexes;70.46838;null;;11.10449;12.47846;;100.8093;
Djibouti [Eastern Mediterranean];null;null;2010;Male;60.63437;null;82;12.2924;82.45258;;293.5775;
Russian Federation [Europe];null;null;2015;Male;65.84554;null;9;12.10709;9.12408;;301.5862;
Angola [Africa];null;null;2015;Male;59.13242;null;87;11.28316;94.40604;56.95292;277.9565;
Norway [Europe];null;null;2019;Both sexes;82.61812;null;;18.45936;2.31487;;;
Haiti [Americas];null;null;2015;Both sexes;62.60823;null;;12.59647;69.89691;;244.6246;
Nepal [South-East Asia];null;null;2015;Male;67.32189;null;38;12.60769;37.95952;;190.2908;
Canada [Americas];null;null;2000;Male;76.54477;null;7;16.02008;6.78683;;100.3071;
Czechia [Europe];null;null;2015;Male;75.56622;null;4;14.33908;3.53367;;111.7704;
Spain [Europe];null;null;2010;Male;78.76283;null;4;17.14776;4.14361;;88.17059;
Croatia [Europe];null;null;2019;Both sexes;78.63747;null;;16.23969;4.63156;;;
Guyana [Americas];null;null;2000;Male;59.81106;null;52;11.2142;51.86913;;323.0415;
Chile [Americas];null;null;2015;Male;76.9781;null;9;16.76218;8.5632;;115.2651;
Burundi [Africa];null;null;2010;Both sexes;58.59703;null;;11.98482;91.04714;;322.722;
null;null;Western Pacific;2015;Male;73.96489;null;;15.08435;14.67971;;105.4695;
Cuba [Americas];null;null;2000;Male;74.58501;null;10;15.63362;9.88405;;144.3798;
Democratic People's Republic of Korea [South-East Asia];null;null;2010;Both sexes;70.182;null;;14.06778;29.5;;153.8226;
Nicaragua [Americas];null;null;2015;Both sexes;74.61766;null;;15.05048;19.40368;;147.9258;
Colombia [Americas];null;null;2019;Female;81.87032;null;12;18.93058;12.09575;;;
Japan [Western Pacific];null;null;2010;Male;79.46046;null;3;17.84216;3.41233;;80.89906;
Cyprus [Europe];null;null;2010;Both sexes;81.01904;null;;17.93084;3.37453;;65.01321;
Azerbaijan [Europe];null;null;2019;Both sexes;71.42894;null;;13.36919;20.38256;;;
Sri Lanka [South-East Asia];null;null;2000;Male;67.92283;null;18;13.52199;17.85559;;238.1104;
Syrian Arab Republic [Eastern Mediterranean];null;null;2015;Both sexes;64.40233;null;;12.22109;41.56517;;315.7787;
Armenia [Europe];null;null;2000;Male;68.58817;null;51;13.27546;33.69758;46.06648;203.5781;
Saudi Arabia [Eastern Mediterranean];null;null;2010;Male;70.39433;null;13;12.64398;12.66029;;104.9379;
Congo [Africa];null;null;2015;Both sexes;63.11351;null;;12.00815;52.57334;;275.106;
Saint Lucia [Americas];null;null;2019;Female;77.70683;null;20;17.12598;21.82023;;;
Maldives [South-East Asia];null;null;2015;Both sexes;78.40925;null;;16.24958;9.7888;;54.03588;
Guinea-Bissau [Africa];null;null;2015;Female;60.81285;null;84;11.77123;84.84089;;251.5078;
Somalia [Eastern Mediterranean];null;null;2000;Male;47.59577;null;178;9.10853;179.45056;;383.7385;
Antigua and Barbuda [Americas];null;null;2019;Both sexes;76.45393;null;;15.82564;6.61278;;;
Congo [Africa];null;null;2015;Female;63.59293;null;50;12.21424;48.0694;;255.6367;
Nepal [South-East Asia];null;null;2010;Female;70.91686;null;44;13.68542;43.18455;;158.224;
Switzerland [Europe];null;null;2000;Female;82.34627;null;5;18.87354;5.04681;;54.44377;
Armenia [Europe];null;null;2019;Male;72.48704;null;13;14.24673;12.64669;;;
Zambia [Africa];null;null;2000;Both sexes;44.46076;null;;10.00356;155.85952;;594.1519;
Iran (Islamic Republic of) [Eastern Mediterranean];null;null;2010;Both sexes;75.85632;null;;15.39802;19.32541;;107.1033;
null;Lower-middle-income;null;2015;Both sexes;68.21706;null;;13.32118;;;;
null;null;Americas;2000;Both sexes;74.12141;null;;15.68741;26.44005;;143.4386;
Panama [Americas];null;null;2015;Male;76.16512;null;19;17.11329;18.78282;;145.8457;
Luxembourg [Europe];null;null;2015;Female;84.28574;null;3;19.45403;2.49639;;33.43281;
Hungary [Europe];null;null;2015;Female;78.73118;null;5;16.55724;4.6253;;86.11513;
Liberia [Africa];null;null;2010;Female;61.32251;null;94;12.16587;92.77991;;241.4235;
Italy [Europe];null;null;2015;Male;80.00161;null;4;17.51582;3.76124;;69.81109;
Grenada [Americas];null;null;2019;Both sexes;72.88402;null;;14.33735;16.52995;;;
Kazakhstan [Europe];null;null;2019;Both sexes;73.95099;null;;14.79826;10.14587;;;
France [Europe];null;null;2015;Male;78.9938;null;5;18.151;4.55492;;96.83761;
Zimbabwe [Africa];null;null;2015;Male;55.73344;null;88;9.91283;66.31459;63.38252;383.2581;
Bahrain [Eastern Mediterranean];null;null;2000;Male;69.54983;null;13;10.88668;12.90473;;111.8821;
Ethiopia [Africa];null;null;2010;Male;61.33376;null;90;12.45171;89.71769;;287.3701;
Guyana [Americas];null;null;2019;Female;69.39328;null;25;13.62082;25.40436;;;
Sri Lanka [South-East Asia];null;null;2015;Male;73.04675;null;10;13.79294;9.59903;;189.7596;
Eswatini [Africa];null;null;2019;Female;63.18209;null;45;12.85597;43.44882;;;
South Sudan [Africa];null;null;2019;Both sexes;62.79444;null;;12.66407;97.85733;;;
Madagascar [Africa];null;null;2000;Female;60.17678;null;100;12.02269;98.79233;;265.844;
Bahamas [Americas];null;null;2010;Both sexes;72.95849;null;;16.13043;15.55457;;158.9924;
Dominican Republic [Americas];null;null;2000;Male;70.22039;null;44;16.13465;43.23784;;254.9539;
Panama [Americas];null;null;2010;Female;80.64902;null;18;18.61719;17.65085;;78.86125;
null;null;Western Pacific;2019;Both sexes;77.66329;null;;16.54433;11.23974;;;
null;Lower-middle-income;null;2015;Female;70.09075;null;;13.83967;;;;
Latvia [Europe];null;null;2000;Both sexes;70.17654;null;;13.8537;14.21329;;217.2358;
Cyprus [Europe];null;null;2019;Both sexes;83.14104;null;;18.99621;2.81257;;;
Democratic Republic of the Congo [Africa];null;null;2015;Both sexes;60.44355;null;;12.25309;95.91324;;260.2272;
South Sudan [Africa];null;null;2015;Female;64.29511;null;91;12.95629;93.98984;;315.7253;
Republic of Moldova [Europe];null;null;2000;Both sexes;66.87234;null;;12.13781;31.51278;;226.1508;
Djibouti [Eastern Mediterranean];null;null;2000;Female;61.96137;null;94;13.29891;94.10544;;293.8458;
Poland [Europe];null;null;2000;Female;77.87715;null;8;16.33923;8.39931;;86.34679;
Austria [Europe];null;null;2015;Female;83.28748;null;3;19.13816;3.30497;;44.33055;
Sri Lanka [South-East Asia];null;null;2010;Female;77.25994;null;11;16.1549;10.26535;;73.6322;
Gabon [Africa];null;null;2010;Both sexes;62.16494;null;;12.16357;61.66139;;288.3221;
Latvia [Europe];null;null;2015;Female;79.29105;null;5;17.22963;4.61437;;82.92439;
New Zealand [Western Pacific];null;null;2000;Both sexes;78.57108;null;;16.88269;7.3939;;86.12334;
Brunei Darussalam [Western Pacific];null;null;2015;Both sexes;74.40452;null;;14.34635;10.59255;;98.8641;
Slovakia [Europe];null;null;2015;Female;80.37247;null;6;17.58316;5.62805;;61.88606;
Armenia [Europe];null;null;2000;Female;74.90656;null;45;15.49272;27.29788;41.92624;91.20572;
Eritrea [Africa];null;null;2019;Male;61.29938;null;46;10.37457;45.54589;;;
Belarus [Europe];null;null;2000;Female;74.60679;null;11;14.87291;10.82176;;128.3234;
Portugal [Europe];null;null;2000;Male;73.06886;null;8;14.93103;7.8863;;153.839;
Brunei Darussalam [Western Pacific];null;null;2019;Male;73.38683;null;13;14.32474;12.47471;;;
Democratic People's Republic of Korea [South-East Asia];null;null;2019;Both sexes;72.63359;null;;14.88497;17.3;;;
Bulgaria [Europe];null;null;2019;Male;71.64895;null;7;13.42601;7.16609;;;
Trinidad and Tobago [Americas];null;null;2010;Both sexes;72.1172;null;;15.09376;22.54753;;178.6341;
France [Europe];null;null;2000;Male;75.23779;null;6;16.29819;6.01897;;135.1067;
Cabo Verde [Africa];null;null;2010;Female;77.26542;null;24;16.99265;23.77257;;117.5078;
Turkmenistan [Europe];null;null;2019;Female;72.96837;null;27;15.64758;36.4799;22.65186;;
Maldives [South-East Asia];null;null;2000;Female;71.48225;null;35;13.43728;35.16855;;128.5659;
Eritrea [Africa];null;null;2019;Female;67.06857;null;35;12.41371;35.34141;;;
Brazil [Americas];null;null;2010;Both sexes;74.09258;null;;15.60943;18.63736;;154.3351;
Sierra Leone [Africa];null;null;2010;Female;55.77563;null;153;12.0083;152.60377;;412.4561;
Samoa [Western Pacific];null;null;2015;Both sexes;70.03727;null;;13.3175;18.55655;;112.606;
South Africa [Africa];null;null;2019;Male;62.20109;null;37;12.69391;35.66566;;;
C\u00f4te d'Ivoire [Africa];null;null;2000;Male;48.9357;null;;9.69611;154.54384;;475.4278;
Mauritania [Africa];null;null;2019;Female;68.73493;null;67;14.05772;66.98118;;;
Singapore [Western Pacific];null;null;2000;Female;80.7067;null;4;17.73622;3.56208;;57.64545;
Haiti [Americas];null;null;2000;Both sexes;57.04974;null;;12.14885;103.92603;;305.7538;
Togo [Africa];null;null;2019;Male;61.51863;null;72;11.76692;71.43019;;;
Guyana [Americas];null;null;2000;Both sexes;62.96075;null;;12.11928;46.39642;;282.3925;
Honduras [Americas];null;null;2000;Female;71.02383;null;33;14.59607;33.22786;;145.4996;
Mali [Africa];null;null;2000;Both sexes;52.63884;null;;11.66317;187.42326;;334.9732;
Gambia [Africa];null;null;2000;Male;57.17085;null;119;11.57485;120.16649;;327.0518;
Nepal [South-East Asia];null;null;2019;Both sexes;70.88377;null;;13.25334;29.31825;;;
Spain [Europe];null;null;2019;Both sexes;83.21875;null;;19.19935;3.25428;;;
Argentina [Americas];null;null;2019;Female;79.50281;null;8;17.58443;7.90872;;;
Gambia [Africa];null;null;2010;Both sexes;62.42088;null;;12.29757;73.62242;;282.4328;
Cambodia [Western Pacific];null;null;2019;Male;67.23409;null;30;11.9698;29.64451;;;
Ukraine [Europe];null;null;2010;Male;65.19999;null;13;11.50805;12.92535;;316.5239;
Lao People's Democratic Republic [Western Pacific];null;null;2010;Both sexes;64.8849;null;;12.7706;68.27375;;218.1363;
China [Western Pacific];null;null;2019;Male;74.72757;null;8;14.98812;8.36605;;;
Poland [Europe];null;null;2015;Female;81.14729;null;4;18.15154;4.40669;;63.33455;
Ireland [Europe];null;null;2015;Both sexes;81.1396;null;;18.26465;3.69873;;62.76733;
Egypt [Eastern Mediterranean];null;null;2019;Both sexes;71.81616;null;;13.37041;20.14223;;;
Argentina [Americas];null;null;2010;Both sexes;75.43737;null;;15.99706;14.45416;;118.6872;
El Salvador [Americas];null;null;2015;Both sexes;73.24693;null;;16.18344;15.46559;;179.5096;
Kazakhstan [Europe];null;null;2010;Female;73.38692;null;18;14.54523;17.45319;;143.3077;
Chile [Americas];null;null;2015;Both sexes;79.81646;null;;17.95337;7.89311;;88.14423;
