Country;World Bank income group;WHO region;Year;Sex;Life expectancy at birth (years);Comments;Under-five mortality rate (deaths per 1000 live births);Healthy life expectancy (HALE) at age 60 (years);Under-five mortality rate (probability of dying by age 5 per 1000 live births);Infant mortality rate (deaths per 1000 live births);Adult mortality rate (probability of dying between 15 and 60 years per 1000 population);
Paraguay [Americas];null;null;2010;Male;72.4676;null;29;15.58991;28.72786;;171.1357;
Qatar [Eastern Mediterranean];null;null;2015;Female;75.92502;null;7;12.69625;7.15103;;47.29836;
Lithuania [Europe];null;null;2000;Male;66.68415;null;12;12.35113;11.79327;;296.5087;
Senegal [Africa];null;null;2010;Both sexes;65.47308;null;;12.66229;65.7326;;209.2066;
Uruguay [Americas];null;null;2019;Male;73.47769;null;8;14.86028;7.39105;;;
Congo [Africa];null;null;2019;Female;65.61142;null;44;12.54174;48.31602;;;
Finland [Europe];null;null;2010;Female;83.03618;null;3;19.12156;2.71656;;53.67418;
Bahrain [Eastern Mediterranean];null;null;2019;Female;77.01587;null;7;13.89737;6.64674;;;
Saint Vincent and the Grenadines [Americas];null;null;2015;Male;70.30133;null;18;14.77245;18.18092;;202.351;
Tunisia [Eastern Mediterranean];null;null;2015;Both sexes;76.69955;null;;15.81053;17.17228;;92.84834;
India [South-East Asia];null;null;2019;Male;69.51722;null;34;13.02337;33.85566;;;
Angola [Africa];null;null;2019;Male;60.70384;null;80;11.55099;80.14061;;;
null;Lower-middle-income;null;2019;Male;67.60718;null;;12.98431;;;;
Romania [Europe];null;null;2000;Male;67.98226;null;24;12.7025;23.82685;;239.8479;
Democratic People's Republic of Korea [South-East Asia];null;null;2019;Female;75.69452;null;15;15.83236;15.43056;;;
Ghana [Africa];null;null;2000;Both sexes;59.2442;null;;12.03358;99.73868;;309.8592;
Sierra Leone [Africa];null;null;2015;Male;55.90025;null;145;11.91188;147.57374;;410.4026;
Angola [Africa];null;null;2015;Both sexes;61.71907;null;;12.43553;88.0503;;239.7846;
Honduras [Americas];null;null;2019;Female;73.16344;null;15;14.22719;14.90366;;;
Burkina Faso [Africa];null;null;2010;Male;56.18855;null;154;11.04521;126.54055;83.3052;295.2476;
Cameroon [Africa];null;null;2010;Both sexes;56.58267;null;;11.87908;110.05624;;354.8312;
China [Western Pacific];null;null;2000;Male;69.34029;null;39;13.26102;38.58627;;126.1452;
null;High-income;null;2010;Male;77.1116;null;;16.53614;;;;
null;High-income;null;2000;Female;80.56939;null;;17.84912;;;;
Nicaragua [Americas];null;null;2000;Male;70.77222;null;42;14.22811;42.47966;;245.9202;
Pakistan [Eastern Mediterranean];null;null;2015;Male;63.12226;null;81;12.20722;80.68492;;187.668;
Slovenia [Europe];null;null;2010;Male;76.24943;null;3;15.18539;3.49455;;119.8656;
Gabon [Africa];null;null;2000;Both sexes;58.09779;null;;11.3187;82.91039;;316.8579;
Nicaragua [Americas];null;null;2019;Female;77.92856;null;15;16.33011;14.65013;;;
Russian Federation [Europe];null;null;2010;Female;74.71544;null;9;15.14971;9.15253;;135.9021;
Sao Tome and Principe [Africa];null;null;2015;Male;68.04631;null;38;12.53884;25.64733;;222.2015;
null;null;Eastern Mediterranean;2019;Male;68.31121;null;;13.35501;49.16208;;;
Oman [Eastern Mediterranean];null;null;2000;Female;71.52737;null;15;12.32168;14.79578;;104.3836;
Philippines [Western Pacific];null;null;2010;Female;73.51962;null;28;14.86446;28.38952;;147.7618;
Montenegro [Europe];null;null;2019;Male;73.15459;null;2;13.45063;2.77135;;;
Denmark [Europe];null;null;2010;Female;81.10014;null;4;17.96331;3.72009;;62.43843;
Namibia [Africa];null;null;2015;Female;66.22478;null;44;14.02595;43.42806;;255.3096;
null;null;Africa;2000;Female;54.30957;null;;12.26712;141.46974;;371.4236;
Syrian Arab Republic [Eastern Mediterranean];null;null;2010;Both sexes;74.34853;null;;14.57105;18.8739;;123.5659;
Guyana [Americas];null;null;2010;Both sexes;64.77226;null;;12.28666;37.43078;;257.8779;
New Zealand [Western Pacific];null;null;2015;Both sexes;81.31198;null;;18.24887;5.51165;;66.67725;
Viet Nam [Western Pacific];null;null;2010;Female;77.14917;null;19;16.03677;18.83288;;69.69427;
Kyrgyzstan [Europe];null;null;2015;Female;75.28014;null;20;15.76676;19.70401;;106.1829;
Angola [Africa];null;null;2010;Both sexes;58.06943;null;;11.90608;120.35612;;269.7017;
Ethiopia [Africa];null;null;2015;Male;65.03864;null;69;13.03628;68.82953;;250.1862;
Haiti [Americas];null;null;2019;Both sexes;64.05315;null;;12.80153;62.2214;;;
Angola [Africa];null;null;2010;Female;60.52821;null;112;12.94383;111.86769;;233.2882;
Greece [Europe];null;null;2010;Both sexes;80.09935;null;;18.05622;3.92798;;73.57458;
United States of America [Americas];null;null;2010;Female;80.80196;null;7;17.21268;6.6182;;78.26348;
Togo [Africa];null;null;2015;Male;59.24372;null;81;11.29518;81.17841;;288.7939;
Algeria [Africa];null;null;2000;Both sexes;72.21101;null;;14.64573;39.69699;;141.8877;
Qatar [Eastern Mediterranean];null;null;2010;Female;73.8738;null;8;11.49568;8.38582;;50.05235;
Guinea [Africa];null;null;2010;Male;56.64756;null;125;11.22439;124.57267;;303.063;
North Macedonia [Europe];null;null;2010;Male;70.92233;null;11;12.47351;11.0848;;137.0339;
null;null;Western Pacific;2010;Male;72.52351;null;;14.52442;19.17876;;112.4105;
Turkey [Europe];null;null;2015;Female;80.06183;null;12;17.08315;12.17315;;72.49218;
Saint Lucia [Americas];null;null;2010;Male;71.85686;null;21;15.21233;21.28699;;182.9115;
Maldives [South-East Asia];null;null;2019;Male;78.63379;null;8;16.40865;7.62035;;;
Papua New Guinea [Western Pacific];null;null;2010;Male;61.5233;null;61;11.33541;61.73075;;266.0475;
Lesotho [Africa];null;null;2010;Female;50.69098;null;90;10.72156;88.55832;;448.8445;
Burundi [Africa];null;null;2000;Male;41.79497;null;163;9.1138;162.30786;;412.2731;
Mongolia [Western Pacific];null;null;2000;Both sexes;60.52023;null;;10.33995;63.45026;;273.0542;
Poland [Europe];null;null;2010;Both sexes;76.25071;null;;15.99939;5.95796;;131.1945;
Malaysia [Western Pacific];null;null;2019;Both sexes;74.718;null;;14.62755;8.5684;;;
Romania [Europe];null;null;2000;Both sexes;71.39459;null;;14.1214;21.57373;;175.0131;
Bhutan [South-East Asia];null;null;2015;Both sexes;72.15268;null;;14.38384;33.12886;;211.1032;
Hungary [Europe];null;null;2019;Female;79.5864;null;3;16.83417;3.74435;;;
Somalia [Eastern Mediterranean];null;null;2010;Female;54.90852;null;149;11.72033;150.20411;;302.3251;
Rwanda [Africa];null;null;2019;Female;71.24305;null;31;14.39649;38.26896;;;
Malawi [Africa];null;null;2015;Male;59.67438;null;85;10.92255;58.38869;54.32048;323.3909;
Zimbabwe [Africa];null;null;2019;Female;63.60674;null;68;12.43903;49.32882;47.92834;;
Afghanistan [Eastern Mediterranean];null;null;2019;Male;63.28709;null;64;11.16827;63.52848;;;
Botswana [Africa];null;null;2000;Male;43.89779;null;72;7.57875;84.54996;;640.147;
Papua New Guinea [Western Pacific];null;null;2010;Female;65.40234;null;53;12.5418;53.86985;;202.496;
Philippines [Western Pacific];null;null;2015;Male;67.12744;null;33;12.1093;32.63367;;244.875;
Lebanon [Eastern Mediterranean];null;null;2010;Both sexes;75.52657;null;;14.75961;10.18884;;95.30703;
Bosnia and Herzegovina [Europe];null;null;2019;Both sexes;76.75007;null;;15.21483;5.86079;;;
Timor-Leste [South-East Asia];null;null;2000;Female;63.40345;null;102;12.64048;101.65991;;251.4818;
Solomon Islands [Western Pacific];null;null;2000;Male;60.11681;null;33;10.7408;33.24081;;248.5371;
Australia [Western Pacific];null;null;2010;Female;83.98511;null;4;19.26858;4.27224;;46.0533;
Lebanon [Eastern Mediterranean];null;null;2015;Both sexes;75.98468;null;;14.8214;8.27962;;98.44476;
Belarus [Europe];null;null;2019;Female;79.62104;null;3;17.22416;2.73838;;;
Timor-Leste [South-East Asia];null;null;2019;Female;71.4107;null;40;13.82907;39.63163;;;
Niger [Africa];null;null;2010;Both sexes;58.95322;null;;12.66245;121.90282;;269.0443;
Uzbekistan [Europe];null;null;2019;Both sexes;73.00793;null;;14.514;14.83051;;;
Ecuador [Americas];null;null;2015;Male;74.92125;null;17;16.50318;17.09138;;145.7616;
Nepal [South-East Asia];null;null;2000;Both sexes;65.25922;null;;12.80343;79.14942;;240.8443;
null;null;Europe;2000;Female;76.64447;null;;16.34369;18.91467;;96.05587;
Saint Lucia [Americas];null;null;2015;Female;78.52065;null;19;17.82902;19.90797;;116.7643;
Bangladesh [South-East Asia];null;null;2015;Both sexes;73.58051;null;;15.54698;38.07254;;133.1444;
Afghanistan [Eastern Mediterranean];null;null;2019;Both sexes;63.2099;null;;10.83648;60.13503;;;
Trinidad and Tobago [Americas];null;null;2010;Female;75.69144;null;21;16.48932;20.26473;;128.8182;
Thailand [South-East Asia];null;null;2000;Female;75.20052;null;19;16.50555;19.40831;;139.2386;
Chad [Africa];null;null;2010;Both sexes;55.65166;null;;11.55981;147.70569;;373.4454;
null;null;Europe;2015;Both sexes;77.08962;null;;16.71891;9.35721;;116.3248;
Bulgaria [Europe];null;null;2015;Male;71.17231;null;9;13.16848;8.98968;;185.0432;
null;Upper-middle-income;null;2019;Female;79.4019;null;;16.97864;;;;
Switzerland [Europe];null;null;2015;Female;84.50005;null;4;19.85353;3.91687;;36.52552;
Togo [Africa];null;null;2000;Female;58.13036;null;109;12.75212;111.41738;;301.1272;
Seychelles [Africa];null;null;2000;Male;67.80633;null;15;12.21077;14.50328;;259.1262;
Zimbabwe [Africa];null;null;2010;Male;49.58448;null;87;9.2765;92.0966;64.41871;533.9531;
Indonesia [South-East Asia];null;null;2010;Male;67.53188;null;37;12.48312;37.04742;;215.412;
Turkey [Europe];null;null;2000;Both sexes;74.41146;null;;16.34397;37.93331;;144.0889;
Colombia [Americas];null;null;2010;Both sexes;77.09467;null;;17.34805;18.32826;;145.5865;
Guatemala [Americas];null;null;2000;Female;70.2701;null;47;14.63488;47.65783;;160.8292;
Cameroon [Africa];null;null;2015;Female;60.98839;null;82;13.06185;81.25069;;331.886;
null;null;Europe;2010;Female;79.26534;null;;17.47824;10.38961;;82.12859;
Somalia [Eastern Mediterranean];null;null;2010;Male;49.4914;null;163;9.56995;164.24362;;366.9117;
Senegal [Africa];null;null;2010;Female;67.15244;null;83;13.15116;60.75474;45.80591;182.4202;
Hungary [Europe];null;null;2019;Male;73.08767;null;4;13.41722;4.46891;;;
Tunisia [Eastern Mediterranean];null;null;2000;Both sexes;74.11952;null;;15.09523;29.91658;;111.4905;
Chad [Africa];null;null;2019;Female;61.34304;null;106;12.67918;106.72937;67.0425;;
Iraq [Eastern Mediterranean];null;null;2010;Male;67.75845;null;38;13.23806;38.04972;;172.8067;
Uruguay [Americas];null;null;2010;Both sexes;76.36115;null;;16.47889;10.71096;;117.9304;
Somalia [Eastern Mediterranean];null;null;2019;Male;54.00606;null;123;10.31116;124.0104;;;
Saint Lucia [Americas];null;null;2015;Both sexes;75.00793;null;;16.39768;21.86243;;147.75;
China [Western Pacific];null;null;2010;Female;77.9407;null;15;15.92688;14.70041;;74.0622;
Thailand [South-East Asia];null;null;2010;Both sexes;76.25385;null;;17.37277;13.57845;;161.2465;
Solomon Islands [Western Pacific];null;null;2019;Male;62.87004;null;21;11.38773;21.86812;;;
Sudan [Eastern Mediterranean];null;null;2019;Both sexes;69.14727;null;;13.64021;58.4187;;;
Guatemala [Americas];null;null;2000;Male;63.31877;null;56;13.63661;56.37309;;281.6859;
Guinea [Africa];null;null;2015;Male;57.27705;null;114;11.29857;113.50229;;289.3647;
Malaysia [Western Pacific];null;null;2010;Male;72.2492;null;9;13.90888;8.80142;;169.5723;
Lesotho [Africa];null;null;2010;Both sexes;47.37603;null;;9.3608;96.42329;;477.8387;
Mauritius [Africa];null;null;2019;Male;70.95081;null;18;13.33627;17.54684;;;
Armenia [Europe];null;null;2010;Male;69.38869;null;21;13.16242;20.16871;16.88723;203.0811;
Indonesia [South-East Asia];null;null;2010;Female;71.03043;null;30;13.52819;30.42885;;156.0969;
United Republic of Tanzania [Africa];null;null;2019;Both sexes;67.34418;null;;13.37236;50.46503;;;
Lebanon [Eastern Mediterranean];null;null;2010;Female;78.12386;null;10;15.81444;9.6244;;84.27433;
Rwanda [Africa];null;null;2000;Male;45.88351;null;215;8.95223;193.0175;123.19567;461.4832;
India [South-East Asia];null;null;2000;Both sexes;62.10872;null;;11.33173;91.65267;;223.7671;
Myanmar [South-East Asia];null;null;2010;Both sexes;64.78619;null;;12.79025;63.65827;;214.7081;
null;null;Eastern Mediterranean;2000;Female;66.67445;null;;13.26819;76.54482;;158.5962;
Vanuatu [Western Pacific];null;null;2010;Both sexes;64.52286;null;;11.77209;29.13116;;145.7283;
Argentina [Americas];null;null;2000;Male;70.3352;null;22;13.8804;21.64433;;182.9323;
Azerbaijan [Europe];null;null;2000;Female;68.4967;null;69;13.92904;69.18578;;106.6633;
Turkey [Europe];null;null;2019;Both sexes;78.62457;null;;16.60355;10.0682;;;
Viet Nam [Western Pacific];null;null;2010;Male;68.41575;null;27;12.75253;26.80293;;193.7911;
Libya [Eastern Mediterranean];null;null;2010;Both sexes;76.03725;null;;15.83957;16.58637;;128.0474;
United Republic of Tanzania [Africa];null;null;2010;Both sexes;61.38839;null;;12.74066;71.93183;;342.5473;
Bhutan [South-East Asia];null;null;2019;Male;72.03266;null;31;14.34327;31.1612;;;
Republic of Moldova [Europe];null;null;2019;Both sexes;73.26277;null;;14.55175;14.76373;;;
United Kingdom of Great Britain and Northern Ireland [Europe];null;null;2000;Male;75.49091;null;;15.10099;7.22072;;108.3054;
Trinidad and Tobago [Americas];null;null;2015;Female;78.33041;null;18;18.05388;17.4026;;120.9731;
Iceland [Europe];null;null;2010;Male;80.02026;null;3;17.801;2.91666;;67.3044;
Venezuela (Bolivarian Republic of) [Americas];null;null;2015;Female;78.97281;null;17;17.58713;17.11441;;94.14495;
Jordan [Eastern Mediterranean];null;null;2015;Both sexes;77.8223;null;;16.18277;17.4552;;111.4631;
Italy [Europe];null;null;2015;Both sexes;82.20576;null;;18.63653;3.48115;;54.8563;
Uruguay [Americas];null;null;2010;Female;80.04553;null;9;18.16607;9.51863;;80.47752;
Viet Nam [Western Pacific];null;null;2015;Male;68.88122;null;25;12.82898;25.50406;;184.1512;
Barbados [Americas];null;null;2015;Male;75.01022;null;15;16.56286;15.24682;;129.1252;
Lebanon [Eastern Mediterranean];null;null;2010;Male;73.25717;null;11;13.80052;10.72294;;105.574;
Syrian Arab Republic [Eastern Mediterranean];null;null;2019;Female;74.25684;null;19;14.16137;20.0288;;;
Kuwait [Eastern Mediterranean];null;null;2015;Male;79.4603;null;9;17.37104;9.54812;;94.62844;
Sweden [Europe];null;null;2010;Female;83.14901;null;3;19.02048;2.78395;;43.18361;
Pakistan [Eastern Mediterranean];null;null;2019;Female;66.72388;null;63;12.62198;62.58932;;;
Slovenia [Europe];null;null;2015;Female;83.32298;null;2;18.80804;2.36786;;45.47157;
Argentina [Americas];null;null;2015;Both sexes;76.16682;null;;16.2391;11.49156;;112.7406;
Portugal [Europe];null;null;2010;Female;82.73711;null;3;18.79392;3.45057;;51.01387;
Congo [Africa];null;null;2000;Both sexes;52.11573;null;;10.28857;114.13274;;416.9056;
United Kingdom of Great Britain and Northern Ireland [Europe];null;null;2010;Male;78.34451;null;;16.94476;5.66127;;90.55502;
Nigeria [Africa];null;null;2019;Male;61.1953;null;124;13.25625;123.17991;;;
Nicaragua [Americas];null;null;2019;Both sexes;75.03769;null;;15.08187;16.61524;;;
Italy [Europe];null;null;2015;Female;84.25867;null;3;19.63262;3.18676;;39.84838;
Kyrgyzstan [Europe];null;null;2010;Female;73.28658;null;26;15.0516;26.09691;;123.362;
United Kingdom of Great Britain and Northern Ireland [Europe];null;null;2000;Female;80.09297;null;;17.28673;5.8391;;67.52371;
Tonga [Western Pacific];null;null;2010;Both sexes;72.22119;null;;14.43662;13.16914;;142.14;
Austria [Europe];null;null;2010;Female;82.98865;null;4;19.14821;3.88888;;48.59444;
Japan [Western Pacific];null;null;2000;Female;84.37168;null;4;20.50237;4.14015;;47.16992;
Malta [Europe];null;null;2019;Male;79.93996;null;8;18.03117;7.02893;;;
Nicaragua [Americas];null;null;2010;Both sexes;74.05313;null;;14.88869;23.90451;;160.0964;
Grenada [Americas];null;null;2000;Male;68.60365;null;17;11.87424;16.564;;231.6807;
Lao People's Democratic Republic [Western Pacific];null;null;2000;Male;56.27648;null;114;10.84361;114.83911;;302.5948;
null;High-income;null;2019;Both sexes;80.86676;null;;18.18998;;;;
Panama [Americas];null;null;2019;Both sexes;79.29353;null;;18.14114;14.84109;;;
North Macedonia [Europe];null;null;2010;Both sexes;73.10848;null;;13.40616;10.35687;;105.8477;
Samoa [Western Pacific];null;null;2010;Male;68.0778;null;20;12.99135;21.18051;;165.9131;
Uruguay [Americas];null;null;2019;Both sexes;77.0994;null;;16.63884;6.72075;;;
Rwanda [Africa];null;null;2000;Female;49.19043;null;198;11.06242;177.04126;111.55013;442.2804;
Egypt [Eastern Mediterranean];null;null;2000;Both sexes;69.82364;null;;13.90604;46.57337;;166.1537;
Chad [Africa];null;null;2010;Male;53.92665;null;156;10.98149;155.47621;;390.8578;
Jordan [Eastern Mediterranean];null;null;2019;Female;78.78378;null;14;16.16686;14.00209;;;
Morocco [Eastern Mediterranean];null;null;2010;Both sexes;71.59913;null;;14.20709;31.19182;;81.98524;
Republic of Moldova [Europe];null;null;2019;Male;69.26459;null;16;12.75459;16.33108;;;
null;null;Eastern Mediterranean;2000;Both sexes;65.01682;null;;12.86508;80.36325;;182.8985;
Haiti [Americas];null;null;2010;Male;27.96683;null;213;8.46234;209.76807;;769.2899;
Lebanon [Eastern Mediterranean];null;null;2019;Female;79.15109;null;7;16.17533;6.82246;;;
Saint Vincent and the Grenadines [Americas];null;null;2015;Female;74.90836;null;15;16.06478;15.2494;;122.4113;
Dominican Republic [Americas];null;null;2010;Male;70.4311;null;37;15.64768;38.2124;;223.7355;
Yemen [Eastern Mediterranean];null;null;2010;Male;65.87653;null;60;12.85505;62.70174;;255.6267;
Democratic Republic of the Congo [Africa];null;null;2010;Female;59.42277;null;107;12.53981;105.61862;;260.0665;
Congo [Africa];null;null;2019;Both sexes;64.73853;null;;12.24901;52.53922;;;
Peru [Americas];null;null;2010;Female;78.91058;null;24;17.75199;17.74837;18.01344;101.5766;
Solomon Islands [Western Pacific];null;null;2019;Female;67.86839;null;18;12.18553;18.0999;;;
Tonga [Western Pacific];null;null;2000;Female;74.19746;null;20;15.53084;14.78533;;134.4218;
Tunisia [Eastern Mediterranean];null;null;2000;Male;71.93842;null;33;14.36125;32.64166;;139.7191;
Uganda [Africa];null;null;2010;Both sexes;59.66988;null;;12.64787;76.28531;;364.252;
Ecuador [Americas];null;null;2019;Male;76.41323;null;16;16.96156;14.91386;;;
Japan [Western Pacific];null;null;2000;Both sexes;81.12236;null;;18.7356;4.50005;;72.13989;
Cambodia [Western Pacific];null;null;2000;Female;61.24218;null;110;12.52057;98.54058;82.20154;240.7209;
Malaysia [Western Pacific];null;null;2010;Both sexes;74.25258;null;;14.42445;8.05676;;131.539;
Costa Rica [Americas];null;null;2019;Both sexes;80.84692;null;;18.6871;8.19046;;;
Brunei Darussalam [Western Pacific];null;null;2000;Female;73.68493;null;9;13.07065;9.44234;;84.78333;
Oman [Eastern Mediterranean];null;null;2010;Male;68.97169;null;13;11.4519;12.81096;;123.1593;
Australia [Western Pacific];null;null;2010;Both sexes;81.9043;null;;18.38645;4.76612;;63.06263;
Angola [Africa];null;null;2015;Female;64.49519;null;73;13.58552;81.61563;43.29645;202.6722;
Canada [Americas];null;null;2015;Both sexes;81.75909;null;;18.83421;5.35589;;63.82228;
Bulgaria [Europe];null;null;2010;Male;70.18677;null;12;12.90611;11.88882;;196.776;
Iceland [Europe];null;null;2019;Male;80.81141;null;2;18.62035;2.16261;;;
Yemen [Eastern Mediterranean];null;null;2010;Female;69.57951;null;52;13.76069;54.70279;;212.2176;
Cameroon [Africa];null;null;2019;Both sexes;62.35601;null;;12.76938;74.67018;;;
Greece [Europe];null;null;2019;Female;83.56782;null;3;19.50177;3.83226;;;
Ukraine [Europe];null;null;2010;Female;75.09698;null;10;15.24981;10.47868;;121.0989;
Kuwait [Eastern Mediterranean];null;null;2000;Both sexes;77.8641;null;;16.47152;12.40878;;93.57471;
Algeria [Africa];null;null;2010;Female;76.79234;null;26;15.70749;25.90667;;91.99743;
Myanmar [South-East Asia];null;null;2015;Female;70.70499;null;66;14.34679;47.35484;52.9837;164.4463;
Iceland [Europe];null;null;2000;Female;81.63809;null;4;18.11792;3.72934;;56.75918;
Uganda [Africa];null;null;2010;Female;62.21443;null;70;13.98403;69.48097;;342.2711;
Fiji [Western Pacific];null;null;2019;Both sexes;68.01035;null;;11.8433;26.88197;;;
Paraguay [Americas];null;null;2000;Female;77.13629;null;30;17.49848;30.60275;;146.6854;
null;null;Africa;2019;Male;62.36873;null;;12.57008;79.37696;;;
null;Low-income;null;2010;Both sexes;60.11687;null;;12.39952;;;;
Mexico [Americas];null;null;2015;Female;78.60807;null;15;16.81638;14.62962;;89.8941;
Kuwait [Eastern Mediterranean];null;null;2019;Female;83.94704;null;7;18.92458;7.94215;;;
Sao Tome and Principe [Africa];null;null;2015;Female;71.1162;null;31;13.48945;20.50529;;162.1342;
Solomon Islands [Western Pacific];null;null;2000;Both sexes;62.51012;null;;11.13657;30.74068;;231.6565;
Sao Tome and Principe [Africa];null;null;2019;Male;68.78915;null;19;12.55192;18.83493;15.38343;;
United States of America [Americas];null;null;2019;Male;76.28124;null;7;15.59422;7.0562;;;
null;null;Africa;2000;Both sexes;52.65365;null;;11.50685;149.86773;;397.3357;
null;null;Africa;2015;Female;64.68992;null;;13.5904;77.60603;;254.5235;
Kuwait [Eastern Mediterranean];null;null;2010;Female;81.42751;null;9;17.55114;9.4403;;62.09222;
Democratic Republic of the Congo [Africa];null;null;2000;Female;54.48838;null;150;12.1948;149.49373;;316.1388;
Saint Lucia [Americas];null;null;2015;Male;71.82034;null;23;15.10235;23.71557;;178.9653;
Kiribati [Western Pacific];null;null;2019;Female;62.80285;null;46;10.99123;46.50048;;;
Timor-Leste [South-East Asia];null;null;2010;Female;69.361;null;57;13.78342;56.7332;;145.2227;
Fiji [Western Pacific];null;null;2000;Both sexes;65.89899;null;;10.8962;22.4115;;221.6333;
Senegal [Africa];null;null;2010;Male;63.66822;null;91;12.10055;70.47733;59.6381;240.3096;
Bolivia (Plurinational State of) [Americas];null;null;2015;Female;72.45124;null;28;14.25831;28.2888;;153.234;
Mauritius [Africa];null;null;2000;Male;67.73547;null;21;11.58792;21.00307;;221.367;
Fiji [Western Pacific];null;null;2000;Female;68.4288;null;21;11.83345;20.88261;;175.8609;
Fiji [Western Pacific];null;null;2019;Male;65.93024;null;28;11.06854;28.99648;;;
Pakistan [Eastern Mediterranean];null;null;2010;Female;63.8964;null;82;12.14321;82.10751;;154.2248;
Oman [Eastern Mediterranean];null;null;2019;Male;72.9706;null;13;12.90012;12.13728;;;
Slovenia [Europe];null;null;2000;Both sexes;76.05003;null;;15.33715;5.47358;;121.8564;
Micronesia (Federated States of) [Western Pacific];null;null;2019;Female;66.04779;null;26;11.62215;21.90391;;;
Comoros [Africa];null;null;2000;Female;62.85692;null;94;12.69625;93.7287;;245.7621;
Israel [Europe];null;null;2015;Female;83.79334;null;4;19.49405;3.63482;;40.77125;
Lao People's Democratic Republic [Western Pacific];null;null;2015;Female;69.5557;null;48;13.94215;48.42785;;175.0167;
Antigua and Barbuda [Americas];null;null;2000;Both sexes;74.56184;null;;15.72777;15.47046;;156.7081;
Vanuatu [Western Pacific];null;null;2015;Female;67.68121;null;26;12.3818;25.95173;;105.9797;
Croatia [Europe];null;null;2019;Female;81.60278;null;4;17.65475;4.16633;;;
Azerbaijan [Europe];null;null;2015;Both sexes;70.6707;null;;13.06042;26.25715;;119.5036;
Denmark [Europe];null;null;2019;Female;83.02058;null;3;18.8612;3.38041;;;
Senegal [Africa];null;null;2000;Male;56.86884;null;135;11.35876;135.8584;;280.3769;
Tajikistan [Europe];null;null;2000;Female;67.77222;null;76;14.07514;75.748;;138.5523;
Antigua and Barbuda [Americas];null;null;2019;Female;77.9584;null;6;16.34362;6.05438;;;
Angola [Africa];null;null;2000;Both sexes;49.30265;null;;10.73909;204.36198;;383.5583;
Mexico [Americas];null;null;2015;Both sexes;75.86538;null;;16.10822;16.21382;;128.368;
Antigua and Barbuda [Americas];null;null;2000;Female;76.95264;null;14;16.5022;13.95822;;131.5732;
Gambia [Africa];null;null;2015;Female;66.2756;null;55;13.03191;54.37712;;238.2705;
Iceland [Europe];null;null;2000;Both sexes;79.70157;null;;17.41697;4.05945;;76.06837;
Namibia [Africa];null;null;2000;Female;55.49687;null;54;11.95223;70.57115;34.33487;400.5774;
Germany [Europe];null;null;2000;Male;75.04047;null;6;15.28624;5.90435;;125.2183;
Niger [Africa];null;null;2000;Female;50.98764;null;220;12.16152;220.56318;;280.0406;
Ecuador [Americas];null;null;2000;Female;77.27205;null;25;17.47046;25.94321;;116.9983;
Democratic People's Republic of Korea [South-East Asia];null;null;2010;Female;73.09081;null;27;14.92012;26.49265;;117.3739;
Cambodia [Western Pacific];null;null;2015;Female;71.88922;null;28;14.01366;28.04851;;144.5393;
Ukraine [Europe];null;null;2015;Male;67.21251;null;10;12.29551;10.40217;;275.8036;
Montenegro [Europe];null;null;2015;Male;72.83126;null;4;13.38164;4.227;;132.9688;
Ethiopia [Africa];null;null;2019;Male;66.89559;null;56;13.3248;56.39748;;;
Malawi [Africa];null;null;2015;Female;66.4723;null;65;13.86393;47.99941;38.35621;214.9806;
Kyrgyzstan [Europe];null;null;2000;Female;70.18462;null;45;14.14281;44.53328;;144.1806;
Serbia [Europe];null;null;2000;Male;68.66045;null;14;12.1584;14.05907;;184.9124;
Guinea-Bissau [Africa];null;null;2019;Male;57.35839;null;85;10.46416;85.78408;;;
Ukraine [Europe];null;null;2019;Male;67.99895;null;9;12.65792;9.16759;;;
Dominican Republic [Americas];null;null;2019;Male;69.75737;null;31;14.81379;37.30849;;;
Zambia [Africa];null;null;2010;Both sexes;56.67128;null;;11.72024;79.01105;;363.5941;
Georgia [Europe];null;null;2000;Male;65.57988;null;41;12.10171;40.78546;;190.7868;
Guatemala [Americas];null;null;2010;Male;65.81696;null;38;13.86811;38.14744;;244.9697;
Sri Lanka [South-East Asia];null;null;2000;Both sexes;71.89227;null;;14.65361;16.49226;;170.6891;
Mozambique [Africa];null;null;2015;Male;52.41692;null;39;9.4128;88.64446;25.60925;400.7524;
Paraguay [Americas];null;null;2015;Female;78.60267;null;20;17.52299;19.96545;;125.1718;
null;Upper-middle-income;null;2000;Female;73.77634;null;;15.012;;;;
Burkina Faso [Africa];null;null;2000;Female;53.14076;null;172;12.19648;172.42746;;326.2072;
Finland [Europe];null;null;2019;Female;84.03592;null;2;19.49804;2.11186;;;
Afghanistan [Eastern Mediterranean];null;null;2015;Both sexes;61.65429;null;;11.19963;70.44674;;233.1531;
Cyprus [Europe];null;null;2000;Both sexes;78.74654;null;;16.75171;6.45608;;79.54356;
United States of America [Americas];null;null;2019;Female;80.72668;null;6;17.0558;5.80515;;;
Lithuania [Europe];null;null;2015;Male;69.09326;null;5;12.83164;5.34441;;246.7039;
Sudan [Eastern Mediterranean];null;null;2000;Female;64.67456;null;96;13.11342;96.93907;;249.51;
Benin [Africa];null;null;2019;Female;65.66406;null;84;13.65891;82.31061;;;
Niger [Africa];null;null;2000;Both sexes;50.35257;null;;11.99658;224.90374;;292.7285;
Chile [Americas];null;null;2019;Male;78.08552;null;8;17.32495;7.56224;;;
