Country;Year;Sex;Data Source;Age-standardized death rates violence per 100000;Comments;Estimated road traffic death rate (per 100 000 population);Age-standardized death rates prematurity and low birth rate per 100000;Mortality rate attributed to unintentional poisoning (per 100 000 population);Age-standardized NCD mortality rate  (per 100 000 population);Mortality rate among children ages 10 to 14 years (per 1000 children aged 10);
Tonga [Western Pacific];2002;null;Not applicable;0.71;null;;;;;;
Mongolia [Western Pacific];2004;Both sexes;null;3.3;null;21.07039;14.8;4.65938;1237.733;2.40455;
Myanmar [South-East Asia];2004;Male;null;28.0;null;28.24034;31.8;2.51533;941.2272;;
Venezuela (Bolivarian Republic of) [Americas];2004;Male;null;71.3;null;45.34339;8.3;0.37405;533.0504;;
Albania [Europe];2004;Female;null;0.0;null;6.2676;0.1;0.38075;456.4321;;
Barbados [Americas];2002;null;Not applicable;7.63;null;;;;;;
Cameroon [Africa];2004;Both sexes;null;19.0;null;27.77629;18.7;2.90427;768.7594;10.6089;
Gabon [Africa];2002;null;Not applicable;11.2;null;;;;;;
Mongolia [Western Pacific];2002;null;Not applicable;3.58;null;;;;;;
Samoa [Western Pacific];2002;null;Not applicable;1.06;null;;;;;;
Philippines [Western Pacific];2004;Male;null;44.9;null;15.16633;12.6;0.30479;882.1969;;
Hungary [Europe];2004;Both sexes;null;1.9;null;15.15649;5.5;1.05542;695.1255;0.88888;
Benin [Africa];2004;Male;null;25.1;null;39.14853;22.4;4.03243;823.0079;;
North Macedonia [Europe];2004;Both sexes;null;5.1;null;7.77815;10.1;0.69332;871.3481;0.99485;
Belarus [Europe];2004;Both sexes;null;8.9;null;23.02302;1.8;7.40506;857.726;1.25511;
Paraguay [Americas];2004;Male;null;35.9;null;18.94195;9.2;0.30738;495.3236;;
Sierra Leone [Africa];2002;null;Not applicable;60.71;null;;;;;;
Jordan [Eastern Mediterranean];2004;Both sexes;null;7.4;null;22.75887;10.7;1.04669;608.3787;1.61453;
Pakistan [Eastern Mediterranean];2004;Both sexes;null;5.1;null;14.38805;20.7;2.37936;850.4037;4.46496;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Both sexes;null;2.8;null;39.01015;14.6;1.60623;542.4975;2.60909;
Democratic People's Republic of Korea [South-East Asia];2004;Male;null;32.6;null;33.94639;14.5;1.55483;758.009;;
Eritrea [Africa];2004;Both sexes;null;20.3;null;33.53176;12.1;4.10777;796.4029;6.58086;
Chile [Americas];2004;Female;null;0.1;null;6.44304;0.1;0.37497;359.9832;;
