Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;Age-standardized DALYs alcohol use disorders per 100000;Age-standardized death rates prematurity and low birth rate per 100000;
Croatia [Europe];2004;Male;261.0;null;5;844.0;2.1;
Honduras [Americas];2004;Male;148.0;null;;998.0;11.2;
Lebanon [Eastern Mediterranean];2004;Female;253.0;null;257.0;4;0.2;
Colombia [Americas];2004;Female;67.0;null;167.0;302.0;1.9;
Ghana [Africa];2004;Both sexes;103.0;null;155.0;127.0;22.9;
Nigeria [Africa];2004;Both sexes;143.0;null;258.0;137.0;25.3;
Chile [Americas];2004;Both sexes;104.0;null;87.0;543.0;2.5;
Brazil [Americas];2004;Female;85.0;null;336.0;184.0;9.4;
Bhutan [South-East Asia];2004;Male;362.0;null;;228.0;13.7;
Dominican Republic [Americas];2004;Male;231.0;null;;885.0;15.6;
Turkmenistan [Europe];2004;Male;320.0;null;;313.0;34.3;
Ukraine [Europe];2004;Male;524.0;null;;1276.0;8.1;
Kyrgyzstan [Europe];2004;Female;122.0;null;195.0;50.0;0.5;
Guinea [Africa];2004;Female;107.0;null;195.0;9;1.9;
Sweden [Europe];2004;Male;143.0;null;2;1115.0;1.1;
Saudi Arabia [Eastern Mediterranean];2004;Female;190.0;null;244.0;1;1.0;
Tonga [Western Pacific];2004;Female;71.0;null;244.0;8;0.0;
Cameroon [Africa];2004;Male;153.0;null;;224.0;20.6;
Argentina [Americas];2004;Female;52.0;null;316.0;218.0;1.4;
Argentina [Americas];2004;Both sexes;82.0;null;169.0;550.0;8.0;
Democratic Republic of the Congo [Africa];2004;Female;152.0;null;119.0;19.0;16.4;
Syrian Arab Republic [Eastern Mediterranean];2004;Female;101.0;null;170.0;1;0.4;
Lesotho [Africa];2004;Male;86.0;null;;196.0;14.8;
Yemen [Eastern Mediterranean];2004;Both sexes;524.0;null;184.0;25.0;25.7;
Namibia [Africa];2004;Both sexes;73.0;null;81.0;129.0;14.2;
Argentina [Americas];2004;Male;111.0;null;2;891.0;8.7;
Andorra [Europe];2004;Male;150.0;null;2;668.0;0.8;
