Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Age-standardized DALYs breast cancer per 100000;Age-standardized DALYs alcohol use disorders per 100000;Age-standardized death rates prematurity and low birth rate per 100000;Age-standardized NCD mortality rate  (per 100 000 population);
Viet Nam [Western Pacific];2004;Both sexes;196.0;null;72.0;285.0;9.3;588.4679;
Morocco [Eastern Mediterranean];2004;Female;207.0;null;170.0;2;1.8;655.1973;
Fiji [Western Pacific];2004;Female;60.0;null;273.0;16.0;0.0;823.7899;
Monaco [Europe];2004;Male;165.0;null;2;712.0;0.2;;
Niger [Africa];2004;Female;109.0;null;373.0;10.0;2.4;601.6859;
Tuvalu [Western Pacific];2004;Female;144.0;null;375.0;10.0;0.0;;
Ukraine [Europe];2004;Male;524.0;null;;1276.0;8.1;1241.024;
Kyrgyzstan [Europe];2004;Female;122.0;null;195.0;50.0;0.5;680.6362;
Guatemala [Americas];2004;Both sexes;161.0;null;123.0;651.0;10.0;528.1763;
Sudan [Eastern Mediterranean];2004;Both sexes;206.0;null;178.0;60.0;26.3;662.9541;
Nicaragua [Americas];2004;Female;66.0;null;221.0;139.0;0.3;490.8083;
Malawi [Africa];2004;Female;70.0;null;126.0;15.0;2.0;624.68;
Yemen [Eastern Mediterranean];2004;Female;435.0;null;362.0;1;4.5;684.3959;
Samoa [Western Pacific];2004;Both sexes;76.0;null;147.0;3;1.7;814.1533;
Lao People's Democratic Republic [Western Pacific];2004;Both sexes;435.0;null;86.0;568.0;13.5;783.8885;
Comoros [Africa];2004;Both sexes;74.0;null;73.0;17.0;19.8;631.1379;
Botswana [Africa];2004;Female;78.0;null;226.0;28.0;0.3;785.3712;
Liberia [Africa];2004;Female;87.0;null;298.0;25.0;1.4;581.803;
Kenya [Africa];2004;Male;146.0;null;;199.0;20.5;685.2862;
Kazakhstan [Europe];2004;Both sexes;299.0;null;165.0;729.0;28.5;984.785;
Albania [Europe];2004;Male;417.0;null;;378.0;5.4;670.3858;
Singapore [Western Pacific];2004;Male;109.0;null;;148.0;1.3;402.2083;
Dominica [Americas];2004;Female;21.0;null;556.0;213.0;0.0;;
Mauritius [Africa];2004;Both sexes;62.0;null;129.0;148.0;6.4;711.9571;
Mongolia [Western Pacific];2004;Both sexes;341.0;null;48.0;413.0;14.8;1237.733;
Solomon Islands [Western Pacific];2004;Female;89.0;null;142.0;7;0.1;623.573;
Equatorial Guinea [Africa];2004;Male;199.0;null;;129.0;36.4;718.3382;
Australia [Western Pacific];2004;Female;107.0;null;337.0;227.0;0.0;285.1349;
Canada [Americas];2004;Female;58.0;null;335.0;312.0;0.2;311.1098;
Saint Lucia [Americas];2004;Both sexes;85.0;null;151.0;616.0;10.6;546.5042;
Luxembourg [Europe];2004;Male;247.0;null;3;771.0;3.0;532.4285;
Cabo Verde [Africa];2004;Female;69.0;null;229.0;24.0;0.0;374.6318;
Venezuela (Bolivarian Republic of) [Americas];2004;Both sexes;156.0;null;116.0;572.0;7.7;445.6473;
Republic of Korea [Western Pacific];2004;Male;128.0;null;1;1779.0;1.8;557.2825;
Nepal [South-East Asia];2004;Female;252.0;null;259.0;64.0;2.9;487.1555;
Poland [Europe];2004;Both sexes;273.0;null;138.0;458.0;3.3;590.8958;
Guinea [Africa];2004;Male;172.0;null;;38.0;26.8;678.9159;
El Salvador [Americas];2004;Both sexes;152.0;null;54.0;771.0;8.4;421.0858;
Egypt [Eastern Mediterranean];2004;Male;218.0;null;;74.0;10.0;925.0681;
Haiti [Americas];2004;Female;327.0;null;29.0;224.0;1.1;953.4293;
Qatar [Eastern Mediterranean];2004;Both sexes;104.0;null;26.0;138.0;5.8;773.7075;
Nepal [South-East Asia];2004;Both sexes;280.0;null;140.0;283.0;14.0;491.3463;
Angola [Africa];2004;Both sexes;255.0;null;218.0;116.0;32.0;767.2207;
Kiribati [Western Pacific];2004;Male;34.0;null;;522.0;;1675.799;
Brazil [Americas];2004;Female;85.0;null;336.0;184.0;9.4;451.8161;
Sri Lanka [South-East Asia];2004;Female;798.0;null;250.0;63.0;0.5;453.9229;
Georgia [Europe];2004;Male;144.0;null;;1066.0;22.0;1161.373;
Ireland [Europe];2004;Female;74.0;null;357.0;189.0;0.0;353.9013;
Lesotho [Africa];2004;Male;86.0;null;;196.0;14.8;1131.647;
Honduras [Americas];2004;Female;80.0;null;276.0;127.0;0.5;608.5063;
Libya [Eastern Mediterranean];2004;Both sexes;176.0;null;98.0;5;7.5;465.0095;
Cuba [Americas];2004;Both sexes;150.0;null;108.0;378.0;1.0;442.6365;
Dominica [Americas];2004;Both sexes;72.0;null;286.0;586.0;11.4;;
Samoa [Western Pacific];2004;Female;65.0;null;300.0;0;0.0;727.8103;
Kuwait [Eastern Mediterranean];2004;Female;92.0;null;177.0;0;0.1;357.6947;
Mongolia [Western Pacific];2004;Female;135.0;null;93.0;33.0;0.2;987.5499;
Dominica [Americas];2004;Male;124.0;null;;970.0;9.7;;
Sweden [Europe];2004;Both sexes;107.0;null;117.0;766.0;0.8;376.6507;
Papua New Guinea [Western Pacific];2004;Male;261.0;null;;506.0;16.9;954.9058;
Liberia [Africa];2004;Male;180.0;null;;199.0;49.3;541.8759;
Kenya [Africa];2004;Both sexes;110.0;null;93.0;111.0;18.5;587.5858;
Guinea-Bissau [Africa];2004;Male;159.0;null;;158.0;28.8;975.3253;
Mozambique [Africa];2004;Both sexes;111.0;null;17.0;58.0;19.9;755.7267;
Netherlands [Europe];2004;Female;73.0;null;383.0;134.0;0.0;348.1576;
Rwanda [Africa];2004;Both sexes;137.0;null;49.0;169.0;24.0;772.0315;
Turkey [Europe];2004;Female;142.0;null;192.0;82.0;4.0;380.3605;
Uzbekistan [Europe];2004;Male;280.0;null;;276.0;25.2;1008.427;
Saint Lucia [Americas];2004;Male;113.0;null;4;1070.0;10.8;659.0986;
Venezuela (Bolivarian Republic of) [Americas];2004;Female;97.0;null;226.0;172.0;1.1;373.798;
Djibouti [Eastern Mediterranean];2004;Male;283.0;null;;98.0;25.5;712.0298;
Lebanon [Eastern Mediterranean];2004;Female;253.0;null;257.0;4;0.2;490.5969;
Honduras [Americas];2004;Male;148.0;null;;998.0;11.2;518.1331;
Ghana [Africa];2004;Female;98.0;null;306.0;33.0;3.9;611.4062;
United Republic of Tanzania [Africa];2004;Male;164.0;null;;243.0;22.4;613.3457;
Indonesia [South-East Asia];2004;Both sexes;455.0;null;168.0;158.0;11.0;689.7083;
Monaco [Europe];2004;Both sexes;126.0;null;131.0;442.0;0.2;;
Colombia [Americas];2004;Male;246.0;null;;1324.0;11.1;443.2568;
Tunisia [Eastern Mediterranean];2004;Both sexes;177.0;null;62.0;84.0;8.5;524.6876;
Solomon Islands [Western Pacific];2004;Both sexes;83.0;null;70.0;125.0;17.3;796.1553;
Gambia [Africa];2004;Female;89.0;null;108.0;19.0;0.3;573.5737;
Japan [Western Pacific];2004;Female;69.0;null;178.0;12.0;0.1;205.2682;
Egypt [Eastern Mediterranean];2004;Female;130.0;null;251.0;1;4.7;642.7813;
Nigeria [Africa];2004;Female;107.0;null;497.0;11.0;33.9;591.4539;
Lao People's Democratic Republic [Western Pacific];2004;Male;432.0;null;;1119.0;14.2;890.7197;
El Salvador [Americas];2004;Male;222.0;null;;1453.0;9.3;507.8493;
Norway [Europe];2004;Both sexes;157.0;null;152.0;969.0;0.3;387.4078;
Eritrea [Africa];2004;Female;62.0;null;127.0;12.0;0.5;660.7241;
Ireland [Europe];2004;Male;164.0;null;;746.0;2.0;538.7975;
Andorra [Europe];2004;Both sexes;113.0;null;138.0;420.0;0.9;;
Rwanda [Africa];2004;Female;89.0;null;89.0;37.0;2.0;674.0532;
Grenada [Americas];2004;Male;195.0;null;3;951.0;5.0;968.7422;
Syrian Arab Republic [Eastern Mediterranean];2004;Male;149.0;null;;104.0;4.5;662.3239;
Bosnia and Herzegovina [Europe];2004;Female;52.0;null;235.0;172.0;0.0;538.7858;
United States of America [Americas];2004;Male;155.0;null;2;881.0;3.5;529.3558;
Denmark [Europe];2004;Male;169.0;null;4;820.0;2.9;584.254;
Burundi [Africa];2004;Female;77.0;null;185.0;42.0;1.6;769.5877;
Republic of Korea [Western Pacific];2004;Both sexes;295.0;null;51.0;934.0;2.2;420.4106;
Bolivia (Plurinational State of) [Americas];2004;Both sexes;179.0;null;179.0;592.0;15.0;596.4451;
Democratic Republic of the Congo [Africa];2004;Both sexes;222.0;null;64.0;81.0;29.5;742.0818;
Mexico [Americas];2004;Both sexes;139.0;null;90.0;287.0;9.0;465.631;
Seychelles [Africa];2004;Female;36.0;null;197.0;28.0;0.0;490.2285;
Jordan [Eastern Mediterranean];2004;Both sexes;162.0;null;191.0;35.0;10.7;608.3787;
Singapore [Western Pacific];2004;Both sexes;89.0;null;100.0;87.0;1.1;329.1087;
Italy [Europe];2004;Male;170.0;null;7;87.0;1.4;479.331;
Togo [Africa];2004;Male;139.0;null;;92.0;27.9;878.164;
Pakistan [Eastern Mediterranean];2004;Both sexes;283.0;null;138.0;76.0;20.7;850.4037;
Estonia [Europe];2004;Both sexes;287.0;null;146.0;1004.0;2.3;665.3738;
Ireland [Europe];2004;Both sexes;120.0;null;182.0;470.0;1.9;435.2672;
Ukraine [Europe];2004;Female;139.0;null;298.0;124.0;0.6;680.1426;
Syrian Arab Republic [Eastern Mediterranean];2004;Female;101.0;null;170.0;1;0.4;659.2863;
Iraq [Eastern Mediterranean];2004;Both sexes;1002.0;null;192.0;18.0;35.6;670.1746;
Kiribati [Western Pacific];2004;Female;36.0;null;312.0;16.0;;1167.527;
Costa Rica [Americas];2004;Male;179.0;null;2;886.0;4.0;457.6619;
Greece [Europe];2004;Female;62.0;null;272.0;140.0;0.1;342.8998;
Guatemala [Americas];2004;Female;101.0;null;234.0;169.0;1.1;453.1007;
Republic of Moldova [Europe];2004;Both sexes;251.0;null;159.0;1102.0;1.8;926.3645;
Greece [Europe];2004;Both sexes;136.0;null;142.0;365.0;2.6;426.2757;
Yemen [Eastern Mediterranean];2004;Both sexes;524.0;null;184.0;25.0;25.7;762.2051;
Uganda [Africa];2004;Female;88.0;null;149.0;49.0;4.4;618.174;
Turkey [Europe];2004;Male;326.0;null;;232.0;12.3;624.1576;
Guyana [Americas];2004;Female;130.0;null;383.0;137.0;0.1;778.445;
Tunisia [Eastern Mediterranean];2004;Male;224.0;null;;165.0;9.9;612.126;
Mauritania [Africa];2004;Both sexes;117.0;null;167.0;12.0;21.7;509.1068;
Zambia [Africa];2004;Female;81.0;null;117.0;25.0;2.0;727.2831;
Romania [Europe];2004;Both sexes;300.0;null;135.0;528.0;2.9;728.2761;
Micronesia (Federated States of) [Western Pacific];2004;Female;68.0;null;162.0;13.0;;996.7928;
Eswatini [Africa];2004;Both sexes;119.0;null;69.0;162.0;25.7;1225.529;
Malaysia [Western Pacific];2004;Female;92.0;null;251.0;52.0;0.6;520.2494;
Belarus [Europe];2004;Male;672.0;null;3;1590.0;1.9;1223.021;
Australia [Western Pacific];2004;Male;240.0;null;1;918.0;0.7;431.3181;
Zambia [Africa];2004;Both sexes;117.0;null;64.0;114.0;20.6;845.261;
Botswana [Africa];2004;Both sexes;103.0;null;126.0;137.0;31.6;980.6343;
Peru [Americas];2004;Both sexes;136.0;null;130.0;798.0;6.7;344.9102;
