Country;Year;Sex;Age-standardized DALYs falls per 100000;Comments;Neonatal mortality rate (deaths per 1000 live births);Age-standardized DALYs diabetes mellitus per 100000;Prevalence of obesity among adults (%);Total NCD Deaths (in thousands);Estimates of rates of homicides per 100 000 population;
Guyana [Americas];2004;Both sexes;184.0;null;;1062.0;;3912.044;24.5267;
Palau [Western Pacific];2004;Both sexes;110.0;null;;821.0;;;;
Eritrea [Africa];2004;Male;107.0;null;;335.0;1;6356.473;20.23593;
Chile [Americas];2004;Female;51.0;null;;446.0;26;34519.67;0.96128;
Mali [Africa];2004;Both sexes;143.0;null;;619.0;;36806.07;13.47214;
Ireland [Europe];2004;Both sexes;120.0;null;;146.0;;24128.09;1.00538;
Japan [Western Pacific];2004;Female;69.0;null;;145.0;3;384817.1;0.44729;
South Africa [Africa];2004;Female;67.0;null;;928.0;31;111452.5;19.33337;
Iraq [Eastern Mediterranean];2004;Both sexes;1002.0;null;;384.0;;81920.2;23.31276;
Hungary [Europe];2004;Both sexes;232.0;null;;269.0;;121231.2;2.20963;
Lebanon [Eastern Mediterranean];2004;Male;314.0;null;;334.0;20;9112.095;6.33311;
Canada [Americas];2004;Both sexes;85.0;null;;341.0;;201981.9;1.95465;
Monaco [Europe];2004;Both sexes;126.0;null;;223.0;;;;
Uganda [Africa];2004;Both sexes;133.0;null;;439.0;;69560.7;9.53384;
Lesotho [Africa];2004;Male;86.0;null;48.37541;337.0;2;5047.493;75.69055;
Venezuela (Bolivarian Republic of) [Americas];2004;Male;213.0;null;;481.0;17;40349.37;87.99387;
Estonia [Europe];2004;Female;147.0;null;;250.0;23;8195.099;2.96101;
Switzerland [Europe];2004;Female;84.0;null;;181.0;15;27855.48;0.84471;
Lebanon [Eastern Mediterranean];2004;Both sexes;282.0;null;;436.0;;16799.06;4.05562;
Belize [Americas];2004;Both sexes;252.0;null;;666.0;;700.9534;28.59808;
Mongolia [Western Pacific];2004;Both sexes;341.0;null;;104.0;;15415.05;15.57728;
Paraguay [Americas];2004;Both sexes;120.0;null;;642.0;;15801.26;22.1653;
Grenada [Americas];2004;Female;85.0;null;;897.0;20;277.2166;1.65137;
Equatorial Guinea [Africa];2004;Male;199.0;null;;573.0;2;1195.216;6.20064;
Liberia [Africa];2004;Male;180.0;null;;514.0;3;3844.8;22.10392;
Tuvalu [Western Pacific];2004;Both sexes;125.0;null;;835.0;;;;
Israel [Europe];2004;Both sexes;79.0;null;;353.0;;32153.41;3.74002;
South Africa [Africa];2004;Male;141.0;null;;724.0;8;116895.3;76.87467;
Panama [Americas];2004;Both sexes;114.0;null;;416.0;;10084.02;12.18544;
Australia [Western Pacific];2004;Both sexes;175.0;null;;201.0;;116269.6;1.27789;
Trinidad and Tobago [Americas];2004;Both sexes;126.0;null;;1435.0;;8044.79;26.84718;
New Zealand [Western Pacific];2004;Both sexes;170.0;null;;209.0;;26406.45;1.23121;
Maldives [South-East Asia];2004;Female;320.0;null;;640.0;5;380.0673;1.18014;
Vanuatu [Western Pacific];2004;Female;82.0;null;;600.0;20;376.7227;1.5452;
New Zealand [Western Pacific];2004;Female;109.0;null;;211.0;26;13523.7;0.6577;
Germany [Europe];2004;Female;70.0;null;;211.0;20;402870.3;0.62531;
Yemen [Eastern Mediterranean];2004;Both sexes;524.0;null;;290.0;;58771.26;4.39236;
Peru [Americas];2004;Female;106.0;null;14.57519;396.0;18;33994.78;2.69636;
San Marino [Europe];2004;Male;98.0;null;;214.0;;;;
Barbados [Americas];2004;Male;77.0;null;;617.0;10;1070.271;17.16501;
Bolivia (Plurinational State of) [Americas];2004;Female;129.0;null;;459.0;18;19849.5;2.49627;
Mexico [Americas];2004;Male;200.0;null;;869.0;17;187769.1;16.69252;
Tonga [Western Pacific];2004;Female;71.0;null;;691.0;45;186.522;2.7586;
Slovenia [Europe];2004;Both sexes;215.0;null;;234.0;;16059.94;1.21215;
Kiribati [Western Pacific];2004;Female;36.0;null;;1278.0;42;314.4798;3.09945;
Nicaragua [Americas];2004;Both sexes;130.0;null;;719.0;;16208.37;13.98296;
Costa Rica [Americas];2004;Both sexes;123.0;null;;366.0;;13190.98;6.66293;
Italy [Europe];2004;Both sexes;130.0;null;;276.0;;512237.4;1.24072;
Central African Republic [Africa];2004;Both sexes;141.0;null;;510.0;;18538.23;23.92963;
Micronesia (Federated States of) [Western Pacific];2004;Female;68.0;null;;686.0;40;298.7714;3.22367;
Cameroon [Africa];2004;Male;153.0;null;40.60391;406.0;3;31306.3;16.31341;
Liberia [Africa];2004;Female;87.0;null;;669.0;8;4442.596;5.34498;
Senegal [Africa];2004;Male;140.0;null;;470.0;2;14822.12;14.80135;
United Kingdom of Great Britain and Northern Ireland [Europe];2004;Both sexes;97.0;null;;168.0;;524068.3;2.04335;
Greece [Europe];2004;Male;207.0;null;;240.0;19;49737.4;1.25673;
Guyana [Americas];2004;Female;130.0;null;;1356.0;18;1839.763;8.29667;
Uzbekistan [Europe];2004;Both sexes;183.0;null;;369.0;;137055.8;3.64968;
Qatar [Eastern Mediterranean];2004;Female;63.0;null;;803.0;35;572.1273;0.45129;
Niue [Western Pacific];2004;Male;106.0;null;;610.0;33;;;
Tajikistan [Europe];2004;Both sexes;109.0;null;;282.0;;25041.82;2.76387;
Iran (Islamic Republic of) [Eastern Mediterranean];2004;Both sexes;300.0;null;;372.0;;205124.5;4.35611;
Armenia [Europe];2004;Both sexes;157.0;null;;728.0;;23599.45;4.00426;
Cyprus [Europe];2004;Male;80.0;null;;322.0;17;3017.99;1.48782;
Turkmenistan [Europe];2004;Both sexes;210.0;null;;303.0;;27431.25;5.40492;
Slovenia [Europe];2004;Male;320.0;null;;272.0;15;8006.285;1.57081;
Peru [Americas];2004;Male;166.0;null;20.43906;372.0;10;30913.24;11.6863;
Jamaica [Americas];2004;Male;131.0;null;;390.0;9;5721.647;38.62655;
Burkina Faso [Africa];2004;Male;178.0;null;;479.0;1;18611.2;15.19304;
Jamaica [Americas];2004;Female;76.0;null;;494.0;25;5675.315;20.22709;
Yemen [Eastern Mediterranean];2004;Female;435.0;null;;334.0;12;27290.32;2.18036;
Austria [Europe];2004;Both sexes;151.0;null;;261.0;;69446.7;0.76538;
Ghana [Africa];2004;Both sexes;103.0;null;;311.0;;59969.23;6.61501;
Barbados [Americas];2004;Both sexes;54.0;null;;635.0;;2326.917;11.6096;
Sudan [Eastern Mediterranean];2004;Both sexes;206.0;null;;456.0;;89224.73;7.62807;
Croatia [Europe];2004;Female;125.0;null;;157.0;23;22450.16;1.54241;
Haiti [Americas];2004;Both sexes;281.0;null;;694.0;;45838.48;20.47438;
Hungary [Europe];2004;Male;310.0;null;;285.0;22;61317.02;2.94601;
Congo [Africa];2004;Male;129.0;null;;323.0;3;5143.124;19.10507;
Somalia [Eastern Mediterranean];2004;Female;429.0;null;;624.0;6;14807.54;2.86464;
Turkmenistan [Europe];2004;Male;320.0;null;;317.0;9;14653.43;8.83122;
Sierra Leone [Africa];2004;Male;316.0;null;;641.0;2;8535.099;15.07067;
North Macedonia [Europe];2004;Female;52.0;null;;290.0;20;9876.144;1.5751;
Angola [Africa];2004;Male;361.0;null;;605.0;2;32139.28;20.07738;
India [South-East Asia];2004;Male;430.0;null;;319.0;1;2346155.0;6.51928;
Guatemala [Americas];2004;Female;101.0;null;;560.0;17;16647.16;10.81818;
Myanmar [South-East Asia];2004;Both sexes;267.0;null;;341.0;;243318.3;4.66536;
Burundi [Africa];2004;Female;77.0;null;;587.0;4;11337.21;2.78662;
Maldives [South-East Asia];2004;Both sexes;359.0;null;;554.0;;910.5667;2.47155;
United States of America [Americas];2004;Both sexes;114.0;null;;374.0;;2096518.0;6.14159;
Djibouti [Eastern Mediterranean];2004;Both sexes;184.0;null;;242.0;;2267.734;8.26553;
Kenya [Africa];2004;Male;146.0;null;;323.0;1;36852.92;7.86352;
Niue [Western Pacific];2004;Both sexes;122.0;null;;592.0;;;;
Bhutan [South-East Asia];2004;Male;362.0;null;;287.0;2;1169.489;3.30911;
Belize [Americas];2004;Female;139.0;null;;747.0;22;331.3357;8.77975;
Burkina Faso [Africa];2004;Both sexes;143.0;null;;582.0;;37152.45;10.23875;
Sao Tome and Principe [Africa];2004;Both sexes;150.0;null;;470.0;;400.466;5.86181;
Guinea [Africa];2004;Female;107.0;null;;575.0;6;14088.0;5.31146;
Czechia [Europe];2004;Male;309.0;null;;210.0;22;48340.46;1.76697;
Malaysia [Western Pacific];2004;Both sexes;128.0;null;;610.0;;82002.66;3.02207;
United States of America [Americas];2004;Male;155.0;null;;374.0;28;1004759.0;9.65423;
Egypt [Eastern Mediterranean];2004;Both sexes;174.0;null;;414.0;;356393.4;3.32045;
Bosnia and Herzegovina [Europe];2004;Male;218.0;null;;238.0;13;14431.55;3.38769;
Democratic Republic of the Congo [Africa];2004;Male;85.0;null;;460.0;2;87994.16;22.61392;
Guyana [Americas];2004;Male;236.0;null;;769.0;7;2072.281;40.67678;
Turkey [Europe];2004;Both sexes;235.0;null;;364.0;;247953.8;5.19175;
Singapore [Western Pacific];2004;Both sexes;89.0;null;;563.0;;12949.79;1.02219;
Belarus [Europe];2004;Both sexes;424.0;null;;295.0;;122382.0;9.85654;
Greece [Europe];2004;Both sexes;136.0;null;;256.0;;96391.29;0.90009;
Mozambique [Africa];2004;Both sexes;111.0;null;;459.0;;69757.16;6.01925;
Turkey [Europe];2004;Male;326.0;null;;308.0;16;137016.1;8.96789;
Brazil [Americas];2004;Both sexes;161.0;null;;509.0;;747752.6;32.05972;
Armenia [Europe];2004;Female;81.0;null;;767.0;18;11822.51;1.51898;
Colombia [Americas];2004;Male;246.0;null;;367.0;11;60476.35;131.5973;
Chad [Africa];2004;Both sexes;149.0;null;;600.0;;27775.21;11.25455;
Seychelles [Africa];2004;Male;110.0;null;;798.0;5;259.464;19.41812;
Ukraine [Europe];2004;Female;139.0;null;;196.0;25;349512.7;4.75546;
Democratic People's Republic of Korea [South-East Asia];2004;Both sexes;210.0;null;;394.0;;120712.8;4.3878;
Gabon [Africa];2004;Female;99.0;null;;451.0;14;2760.039;3.61804;
Albania [Europe];2004;Female;102.0;null;;169.0;16;7140.817;2.33012;
Slovakia [Europe];2004;Male;455.0;null;;261.0;16;23792.01;3.34033;
Cuba [Americas];2004;Male;174.0;null;;443.0;13;35389.13;9.43282;
Bosnia and Herzegovina [Europe];2004;Both sexes;135.0;null;;223.0;;30533.19;2.24954;
Equatorial Guinea [Africa];2004;Both sexes;158.0;null;;651.0;;2270.976;3.82445;
Honduras [Americas];2004;Both sexes;101.0;null;;635.0;;21678.89;54.02918;
Madagascar [Africa];2004;Male;123.0;null;;378.0;1;29072.22;13.91198;
El Salvador [Americas];2004;Male;222.0;null;;336.0;11;9879.605;95.49406;
Dominican Republic [Americas];2004;Female;138.0;null;;684.0;23;11640.4;7.64752;
Chile [Americas];2004;Male;159.0;null;;343.0;19;36400.29;9.84969;
Kazakhstan [Europe];2004;Male;428.0;null;;190.0;13;67109.55;25.90663;
Sri Lanka [South-East Asia];2004;Both sexes;649.0;null;;473.0;;93453.68;8.28781;
Mauritania [Africa];2004;Female;93.0;null;;556.0;11;3913.998;6.62755;
Republic of Korea [Western Pacific];2004;Female;212.0;null;;397.0;4;94001.91;1.48776;
Guinea-Bissau [Africa];2004;Male;159.0;null;;515.0;2;2369.797;17.69891;
Seychelles [Africa];2004;Both sexes;73.0;null;;767.0;;490.5903;12.44106;
Bahrain [Eastern Mediterranean];2004;Male;124.0;null;;849.0;18;1300.229;1.01278;
Solomon Islands [Western Pacific];2004;Both sexes;83.0;null;;569.0;;1639.458;5.56478;
Denmark [Europe];2004;Male;169.0;null;;238.0;18;24944.31;1.03215;
Eritrea [Africa];2004;Female;62.0;null;;463.0;3;4738.442;5.99209;
Guatemala [Americas];2004;Both sexes;161.0;null;;530.0;;36734.84;37.50669;
Slovakia [Europe];2004;Female;95.0;null;;237.0;18;22972.75;1.25963;
Chile [Americas];2004;Both sexes;104.0;null;;397.0;;70919.97;5.33481;
Libya [Eastern Mediterranean];2004;Both sexes;176.0;null;;237.0;;13712.93;3.6651;
Malawi [Africa];2004;Female;70.0;null;31.91309;508.0;4;18655.6;1.40078;
Luxembourg [Europe];2004;Male;247.0;null;;154.0;19;1589.004;0.9667;
Slovakia [Europe];2004;Both sexes;273.0;null;;250.0;;46764.76;2.26855;
Fiji [Western Pacific];2004;Female;60.0;null;;669.0;28;1981.417;1.35454;
Cambodia [Western Pacific];2004;Male;259.0;null;;398.0;1;22731.29;6.74201;
Sri Lanka [South-East Asia];2004;Female;798.0;null;;468.0;4;38755.75;2.96602;
Spain [Europe];2004;Male;160.0;null;;254.0;20;176079.4;1.74398;
Solomon Islands [Western Pacific];2004;Female;89.0;null;;531.0;17;615.25;2.75832;
Lithuania [Europe];2004;Male;553.0;null;;231.0;19;17226.55;15.70395;
China [Western Pacific];2004;Male;379.0;null;;205.0;3;4400614.0;2.02865;
Venezuela (Bolivarian Republic of) [Americas];2004;Female;97.0;null;;572.0;23;34671.39;8.85729;
Fiji [Western Pacific];2004;Both sexes;70.0;null;;729.0;;4541.448;2.78845;
Indonesia [South-East Asia];2004;Female;554.0;null;;647.0;5;475687.3;3.1643;
Oman [Eastern Mediterranean];2004;Both sexes;168.0;null;;695.0;;7637.217;0.77116;
Samoa [Western Pacific];2004;Female;65.0;null;;665.0;46;405.4182;2.20832;
Saint Kitts and Nevis [Americas];2004;Female;30.0;null;;487.0;22;;;
Saudi Arabia [Eastern Mediterranean];2004;Male;463.0;null;;700.0;22;37283.61;1.7572;
Cyprus [Europe];2004;Female;53.0;null;;717.0;19;2711.719;1.50935;
Armenia [Europe];2004;Male;237.0;null;;669.0;12;11776.94;6.80449;
Timor-Leste [South-East Asia];2004;Male;308.0;null;;426.0;1;1291.233;6.67345;
Niger [Africa];2004;Female;109.0;null;;722.0;4;16940.91;6.44716;
Monaco [Europe];2004;Female;87.0;null;;206.0;;;;
Lebanon [Eastern Mediterranean];2004;Female;253.0;null;;528.0;30;7686.967;1.70998;
Grenada [Americas];2004;Both sexes;138.0;null;;784.0;;720.4789;3.48857;
Palau [Western Pacific];2004;Female;115.0;null;;783.0;51;;;
Myanmar [South-East Asia];2004;Female;272.0;null;;336.0;3;123885.6;2.89712;
Niger [Africa];2004;Both sexes;159.0;null;;614.0;;34094.23;12.38618;
Uganda [Africa];2004;Male;178.0;null;;387.0;1;37604.38;16.19515;
Cambodia [Western Pacific];2004;Both sexes;216.0;null;;496.0;;44983.0;4.15471;
Singapore [Western Pacific];2004;Female;69.0;null;;565.0;6;5871.08;0.85671;
Ukraine [Europe];2004;Male;524.0;null;;187.0;17;327018.1;13.12378;
Viet Nam [Western Pacific];2004;Female;181.0;null;;275.0;1;200554.0;0.35013;
Saint Kitts and Nevis [Americas];2004;Male;302.0;null;;524.0;9;;;
Jordan [Eastern Mediterranean];2004;Male;210.0;null;;410.0;18;6302.376;4.80394;
Bulgaria [Europe];2004;Both sexes;199.0;null;;349.0;;105128.6;2.98099;
Sao Tome and Principe [Africa];2004;Female;113.0;null;;576.0;9;211.4477;2.88746;
Poland [Europe];2004;Female;120.0;null;;238.0;21;156922.1;1.06114;
Ethiopia [Africa];2004;Male;136.0;null;;402.0;1;113234.1;14.92718;
Bhutan [South-East Asia];2004;Female;289.0;null;;264.0;4;926.8547;1.27184;
Saint Lucia [Americas];2004;Female;58.0;null;;1023.0;19;373.0088;7.86308;
Libya [Eastern Mediterranean];2004;Female;130.0;null;;261.0;30;6035.262;1.60913;
China [Western Pacific];2004;Female;244.0;null;;260.0;4;3337042.0;1.41833;
Saint Vincent and the Grenadines [Americas];2004;Both sexes;201.0;null;;1301.0;;595.3735;20.08654;
Austria [Europe];2004;Female;85.0;null;;239.0;16;38030.66;0.69455;
El Salvador [Americas];2004;Both sexes;152.0;null;;392.0;;18529.35;68.66881;
India [South-East Asia];2004;Female;315.0;null;;291.0;3;1839474.0;2.60278;
Madagascar [Africa];2004;Female;86.0;null;;539.0;3;27162.25;4.48136;
India [South-East Asia];2004;Both sexes;375.0;null;;305.0;;4185629.0;4.64021;
Equatorial Guinea [Africa];2004;Female;118.0;null;;717.0;7;1075.76;1.16505;
Palau [Western Pacific];2004;Male;106.0;null;;861.0;41;;;
Madagascar [Africa];2004;Both sexes;104.0;null;;463.0;;56234.47;9.17698;
Iraq [Eastern Mediterranean];2004;Male;1374.0;null;;368.0;14;42709.65;34.0944;
Estonia [Europe];2004;Male;435.0;null;;313.0;16;7616.204;15.14193;
Kyrgyzstan [Europe];2004;Male;513.0;null;;253.0;8;14328.13;14.08274;
Kuwait [Eastern Mediterranean];2004;Both sexes;120.0;null;;634.0;;3038.886;2.55122;
